apprehension_landmark|landmark_state|landmark_type
YAKIMA FUGITIVE OPERATIONS STREET ARREST|WA|At-large
MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)|OR|Local jail
CHELAN CO. JAIL|WA|Local jail
FRANKLIN CO. JAIL|WA|Local jail
BENTON COUNTY JAIL|WA|Local jail
JACKSON COUNTY JAIL|OR|Local jail
SNAKE RIVER CORRECTIONAL INSTITUTION (SRCI)|OR|State prison
MARION COUNTY JAIL|OR|Local jail
LANE COUNTY JAIL|OR|Local jail
WASHINGTON COUNTY JAIL|OR|Local jail
SCORE (SOUTH CORRECTIONAL ENTITY)|WA|Local jail
REGIONAL JUSTICE CENTER|WA|Local jail
GRAY'S HARBOR COUNTY JAIL|WA|Local jail
EASTERN OREGON CORRECTIONAL INSTITUTION (EOCI)|OR|State prison
LYNNWOOD CITY JAIL|WA|Local jail
BENTON CO. JAIL|WA|Local jail
YAKIMA COUNTY JAIL|WA|Local jail
YAMHILL COUNTY JAIL|OR|Local jail
PIERCE COUNTY JAIL|WA|Local jail
KOOTENAI CO. JAIL|ID|Local jail
KLICKITAT CO. JAIL|WA|Local jail
COFFEE CREEK CORRECTIONAL|OR|State prison
DESCHUTES COUNTY JAIL|OR|Local jail
SUNNYSIDE CITY JAIL|WA|Local jail
SKAGIT COUNTY JAIL|WA|Local jail
VCAS STREET ARREST||At-large
SNOHOMISH COUNTY JAIL|WA|Local jail
COLUMBIA RIVER CORRECTIONAL INSTITUTION (CRCI)|OR|State prison
ISSAQUAH CITY JAIL|WA|Local jail
SHELTON CORRECTONS CENTER|WA|State prison
YAKIMA CITY JAIL|WA|Local jail
COWLITZ COUNTY JAIL|WA|Local jail
JEFFERSON COUNTY JAIL|WA|Local jail
LINN COUNTY JAIL|OR|Local jail
UMATILLA CO. JAIL|OR|Local jail
GRANT CO. JAIL, WA|WA|Local jail
CLACKAMAS COUNTY JAIL|OR|Local jail
ANCHORAGE CORRECTIONAL COMPLEX|AK|State prison
LEWIS COUNTY JAIL|WA|Local jail
WHATCOM COUNTY JAIL|WA|Local jail
KING COUNTY JAIL|WA|Local jail
OREGON STATE PENTENTIARY (OSP)|OR|State prison
CLARK COUNTY JAIL|WA|Local jail
KLAMATH COUNTY JAIL|OR|Local jail
WASHINGTON CORRECTIONS CENTER|WA|State prison
KENT CITY JAIL|WA|Local jail
FEDERAL DETENTION CENTER (FDC)|WA|Federal prison
ANCHORAGE ERO OFFICE|AK|ICE office
OREGON STATE CORRECTIONAL INSTITUTION (OSCI)|OR|State prison
ADAMS CO. JAIL|WA|Local jail
TWO RIVERS CORRECTIONAL INSTITUTION (TRCI)|OR|State prison
SPOKANE CO. JAIL|WA|Local jail
OREGON STATE PENITENTIARY (OSP)|OR|State prison
GRANDVIEW CITY JAIL|WA|Local jail
KITSAP COUNTY JAIL|WA|Local jail
UMATILLA COUNTY JAIL|OR|Local jail
WALLA WALLA CO. JAIL|WA|Local jail
STAFFORD CREEK CORRECTIONS|WA|State prison
SEATTLE FUGITIVE OPERATIONS STREET ARREST|WA|At-large
DOUGLAS COUNTY JAIL|WA|Local jail
EASTERN OREGON YOUTH CORRECTIONS FACILITY|OR|Juvenile detention
THURSTON COUNTY JAIL|WA|Local jail
XSE GENERAL AREA, NON-SPECIFIC||ICE office
KLAMATH COUNTY JAIL, KLAMATH FALLS, OREGON|OR|Local jail
JOSEPHINE COUNTY JAIL|OR|Local jail
PORTLAND FUGITIVE OPERATIONS STREET ARREST|OR|At-large
COOS COUNTY JAIL|OR|Local jail
YAKIMA NON DETAINED ARREST|WA|Non-detained docket
