apprehension_landmark,state,correct
"ABERDEEN CITY JAIL, WA",WA,
ADAMS CO. JAIL,WA,
ADAMS COUNTY CORRECTIONAL CENTER,WA,
"ADELANTO, CA ICE FACILITY",OTHER,
AIRWAY HEIGHTS,WA,
AK PROBATION ANCHORAGE,OTHER,
"ANC GENERAL AREA, NON-SPECIFIC",OTHER,
ANCHORAGE CAP,OTHER,
ANCHORAGE CORRECTIONAL COMPLEX,OTHER,
ANCHORAGE DETAINED DOCKET ARREST,OTHER,
ANCHORAGE ERO OFFICE,OTHER,
ANCHORAGE FUGITIVE OPERATIONS STREET ARREST,OTHER,
ANCHORAGE NON-DETAINED ARREST,OTHER,
ANCHORAGE NON-DETAINED DOCKET,OTHER,
ASOTIN CO. JAIL,WA,
"ATL GENERAL AREA, NON-SPECIFIC",OTHER,
"ATLANTA, GA",OTHER,
AUBURN CITY JAIL,WA,
BENEWAH CO. JAIL,OTHER,
BENTON CO. JAIL,WA,BENTON COUNTY JAIL
BENTON COUNTY JAIL,WA,BENTON COUNTY JAIL
"BKI GENERAL AREA, NON-SPECIFIC",OTHER,
"BLA GENERAL AREA, NON-SPECIFIC",OTHER,
"BLH GENERAL AREA, NON-SPECIFIC",OTHER,
BONNERS FERRY CO. JAIL,OTHER,
BOTHELL CITY JAIL,WA,
BREMERTON CITY JAIL,WA,
BUCKLEY CITY JAIL,WA,
CEDAR CREEK CORRECTIONS,WA,
"CHE GENERAL AREA, NON-SPECIFIC",OTHER,
CHELAN CO. JAIL,WA,
"CIBOLA COUNTY CORRECTION AL CENTER, MILAN FEDERAL FACILTIY",OTHER,
CITY OF GRAND JUNCTION,OTHER,
CLACKAMAS COUNTY JAIL,OR,
CLALLAM BAY CORRECTIONS,WA,
CLALLAM CO. JAIL,WA,CLALLAM COUNTY JAIL
CLALLAM COUNTY JAIL,WA,
CLARK COUNTY JAIL,WA,
CLARK COUNTY JUVENILE,WA,
CLATSOP COUNTY JAIL,OR,
COFFEE CREEK CORRECTIONAL,OR,COFFEE CREEK CORRECTIONAL
COFFEE CREEK CORRECTIONAL FACILITY (CCCF) & STATE INTAKE,OR,COFFEE CREEK CORRECTIONAL
COLOMBIA COUNTY JAIL,AMBIGUOUS,COLUMBIA COUNTY JAIL
COLUMBIA COUNTY JAIL,AMBIGUOUS,COLUMBIA COUNTY JAIL
"COLUMBIA COUNTY JAIL, WA",WA,
COLUMBIA RIVER CORRECTIONAL INSTITUTION (CRCI),OR,
COOK INLET PRETRIAL FACILITY,OTHER,
COOS COUNTY JAIL,OR,
COWLITZ COUNTY JAIL,WA,
COWLITZ COUNTY JUVENILE FACILITY,WA,
COYOTE RIDGE CORRECTIONS,WA,
CROOK COUNTY JAIL,OR,
CURRY COUNTY JAIL,OR,
DEER RIDGE CORRECTIONAL (DRCI),OR,
DENNY JUVENILE CENTER,WA,DENNEY JUVENILE JUSTICE CENTER
DES MOINES CITY PD,WA,
DESCHUTES COUNTY JAIL,OR,
"DESCHUTES COUNTY JAIL, BEND, OREGON",OR,DESCHUTES COUNTY JAIL
DO NOT USE,OTHER,
DOUGLAS COUNTY JAIL,OR,
EASTERN OREGON CORRECTIONAL INSTITUTION (EOCI),OR,
EASTERN OREGON YOUTH CORRECTIONS FACILITY,OR,
ECHO GLEN CHILDREN'S CENTER,WA,
"ELP GENERAL AREA, NON-SPECIFIC",OTHER,
"EUG GENERAL AREA, NON-SPECIFIC",OR,
EUGENE CAP,OR,
EUGENE FEDERAL COURTHOUSE,OR,
EUGENE NON-DETAINED DOCKET,OR,
EUGENE VCAS,OR,
EUMCLAW CITY JAIL,WA,ENUMCLAW CITY JAIL
