book_in_date,date_of_birth,gender,country_of_citizenship,detention_facility,apprehension_method,most_serious_conviction,year,month,day,state
2012-01-01,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,1,WA
2012-01-01,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,Patrol Border,NA,2012,1,1,WA
2012-01-02,"(b)(6),(b)(7)c)",Male,HONDURAS,NORTHWEST DET. CENTER,Other Agency (turned over to INS),NA,2012,1,2,WA
2012-01-02,"(b)(6),(b)(7)c)",Male,FRANCE,NORTHWEST DET. CENTER,Inspections,NA,2012,1,2,WA
2012-01-02,"(b)(6),(b)(7)c)",Female,SWITZERLAND,NORTHWEST DET. CENTER,Inspections,NA,2012,1,2,WA
2012-01-02,"(b)(6),(b)(7)c)",Female,MEXICO,YAKIMA COUNTY,CAP Local Incarceration,NA,2012,1,2,WA
2012-01-02,"(b)(6),(b)(7)c)",Male,SOMALIA,NORTHWEST DET. CENTER,Inspections,NA,2012,1,2,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,PERU,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,GUATEMALA,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,VIETNAM,NORTHWEST DET. CENTER,NA,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,NA,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,Located,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,THAILAND,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,PORTLAND DISTRICT OFFICE,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,COLUMBIA COUNTY JAIL,CAP Local Incarceration,NA,2012,1,3,OR
2012-01-03,"(b)(6),(b)(7)c)",Male,LAOS,NORTHWEST DET. CENTER,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,SEATTLE FIELD OFFICE HOLD ROOM,CAP Local Incarceration,NA,2012,1,3,WA
2012-01-03,"(b)(6),(b)(7)c)",Male,MEXICO,YAKIMA SUB-OFFICE,CAP Local Incarceration,NA,2012,1,3,WA
