Date,ICE Area of Responsibility,ATD Technology,Family Unit - Individual,Number under ATD,Average Days in Program
02/24/2024,,Total,All,184601,562.1
02/24/2024,Atlanta,All,All,4830,642.4
02/24/2024,Atlanta,SmartLINK,All,4274,616.3
02/24/2024,Atlanta,VoiceID,All,149,2144.6
02/24/2024,Atlanta,Dual Tech,All,31,19.7
02/24/2024,Atlanta,Ankle Monitor,All,376,394.6
02/24/2024,Baltimore,All,All,3659,527.3
02/24/2024,Baltimore,SmartLINK,All,3438,543.5
02/24/2024,Baltimore,VoiceID,All,9,1595
02/24/2024,Baltimore,Dual Tech,All,35,53
02/24/2024,Baltimore,Ankle Monitor,All,168,252.5
02/24/2024,Baltimore,Wristworn,All,9,209.4
02/24/2024,Boston,All,All,6702,565.1
02/24/2024,Boston,SmartLINK,All,6435,571.5
02/24/2024,Boston,No Tech,All,1,24
02/24/2024,Boston,VoiceID,All,3,1007.3
02/24/2024,Boston,Dual Tech,All,94,24.5
02/24/2024,Boston,Ankle Monitor,All,169,617.5
02/24/2024,Buffalo,All,All,598,1005.4
02/24/2024,Buffalo,SmartLINK,All,370,436.7
02/24/2024,Buffalo,VoiceID,All,221,1987.2
02/24/2024,Buffalo,Ankle Monitor,All,7,68.1
02/24/2024,Chicago,All,All,16274,660.7
02/24/2024,Chicago,SmartLINK,All,14137,642.5
02/24/2024,Chicago,VoiceID,All,540,2538.8
02/24/2024,Chicago,Dual Tech,All,75,23.7
02/24/2024,Chicago,Ankle Monitor,All,1522,195.2
02/24/2024,Dallas,All,All,2928,371.5
02/24/2024,Dallas,SmartLINK,All,2052,471.2
02/24/2024,Dallas,No Tech,All,1,38
02/24/2024,Dallas,VoiceID,All,2,1827
02/24/2024,Dallas,Dual Tech,All,39,20.2
02/24/2024,Dallas,Ankle Monitor,All,803,134.4
02/24/2024,Dallas,Wristworn,All,31,267.7
02/24/2024,Denver,All,All,3281,518
02/24/2024,Denver,SmartLINK,All,3118,510.7
02/24/2024,Denver,VoiceID,All,32,2255.6
02/24/2024,Denver,Dual Tech,All,41,69.8
02/24/2024,Denver,Ankle Monitor,All,55,401.5
02/24/2024,Denver,Wristworn,All,35,287.1
02/24/2024,Detroit,All,All,9564,855.8
02/24/2024,Detroit,SmartLINK,All,8934,776.5
02/24/2024,Detroit,VoiceID,All,450,2648.9
02/24/2024,Detroit,Dual Tech,All,8,17.1
02/24/2024,Detroit,Ankle Monitor,All,172,325
02/24/2024,El Paso,All,All,4118,172.1
02/24/2024,El Paso,SmartLINK,All,1933,196.2
02/24/2024,El Paso,VoiceID,All,130,1558.6
02/24/2024,El Paso,Dual Tech,All,13,6.4
02/24/2024,El Paso,Ankle Monitor,All,1989,58.1
02/24/2024,El Paso,Wristworn,All,53,209.8
02/24/2024,Harlingen,All,All,9624,248.4
02/24/2024,Harlingen,SmartLINK,All,7108,312
02/24/2024,Harlingen,Dual Tech,All,206,10.6
