aor,field_office_addr,lat,long
ATL,"180 Ted Turner Dr. SW, Suite 522, Atlanta, GA 30303",33.749609,-84.3973461
BAL,"31 Hopkins Plaza 6th Floor Baltimore, MD 21201",39.2881595,-76.6167247
BOS,"1000 District Avenue Burlington, MA 01803",42.4825992,-71.2088101
BUF,"250 Delaware Avenue, Floor 7 Buffalo, NY 14202",42.8909601,-78.8769702
CHI,"101 W Ida B Wells Drive Suite 4000 Chicago, IL 60605",41.8753788,-87.6310683
DAL,"8101 N. Stemmons Frwy Dallas, TX 75247",32.8237524,-96.8721908
DEN,"12445 E. Caley Avenue Centennial, CO 80111",39.6010386,-104.8450965
DET,"333 Mt. Elliott St Detroit, MI 48207",42.3429477,-83.0099938
ELP,"11541 Montana Ave Suite E El Paso, TX 79936",31.8041995,-106.2909638
HAL,"1717 Zoy Street, Harlingen, TX 78552",26.177859724276605, -97.71397298280756
HOU,"126 Northpoint Drive Houston, TX 77060",29.9375914,-95.4066362
HQ,"500 12th Street, SW, Washington, D.C. 20536",38.88379432802761, -77.02745327791081
LOS,"300 North Los Angeles St. Room 7631 Los Angeles, CA 90012",34.0537633,-118.2397336
MIA,"865 SW 78th Avenue Suite 101 Plantation, FL 33324",26.1098824,-80.2562109
NEW,"970 Broad St. 11th Floor Newark, NJ 07102",40.7301363,-74.1742268
NOL,"1250 Poydras Suite 325 New Orleans, LA 70113",29.9507683,-90.0767572
NYC,"26 Federal Plaza 9th Floor, Suite 9-110 New York, NY 10278",40.7153737,-74.0042596
PHI,"114 North 8th Street Philadelphia, PA 19107",39.9538838,-75.1531302
PHO,"2035 N. Central Avenue Phoenix, AZ 85004",33.4708485,-112.0731925
SEA,"12500 Tukwila International Boulevard Seattle, WA 98168",47.4904705,-122.2912092
SFR,"630 Sansome Street Rm 590 San Francisco, CA 94111",37.7962167,-122.401521
SLC,"2975 Decker Lake Drive Suite 100 West Valley City, UT 84119-6096",40.7062912,-111.9461895
SNA,"1777 NE Loop 410 Floor 15 San Antonio, TX 78217",29.517365,-98.4368439
SND,"880 Front Street #2242 San Diego, CA 92101",32.7143257,-117.1653527
SPM,"1 Federal Drive Suite 1601 Fort Snelling, MN 55111",44.8941668,-93.1948264
WAS,"14797 Murdock Street Chantilly, VA 20151",38.9115124,-77.4586343
