aor|total_pop|total_pop_se|total_pop_low|total_pop_upp|forborn_pop|forborn_pop_se|forborn_pop_low|forborn_pop_upp|noncitizen_pop|noncitizen_pop_se|noncitizen_pop_low|noncitizen_pop_upp|undocu_pop|undocu_pop_se|undocu_pop_low|undocu_pop_upp|year
ATL|18542235|4154.190137680267|18533966.291367117|18550503.708632883|1768281|16267.640017839096|1735901.0725065442|1800660.9274934558|1128531|14627.817292747404|1099415.057994443|1157646.942005557|601446|12349.824444096364|576864.2893389432|626027.7106610568|2012
BAL|4542240|940.179158458642|4540368.620196392|4544111.379803608|773503|9445.521176727096|754702.1603880504|792303.8396119496|404899|7743.265938865848|389486.41468411667|420311.58531588333|172542|5441.789154313129|161710.3896337694|183373.6103662306|2012
BOS|11488009|3061.4044897726276|11481915.426789733|11494102.573210267|1648757|16601.46575757695|1615712.6089927028|1681801.3910072972|800266|12266.798384256586|775849.5485772059|824682.4514227941|205057|6067.918073771267|192979.1111944028|217134.8888055972|2012
BUF|4797334|2760.2205618392168|4791839.918402405|4802828.081597595|296658|6693.715388332552|283334.4927980728|309981.5072019272|136929|4906.935535545581|127161.98913168762|146696.01086831238|23026|1898.793643343057|19246.54579342418|26805.45420657582|2012
CHI|29323968|6893.387915241678|29310247.05457491|29337688.94542509|2690481|20655.382409919213|2649367.4897397924|2731594.5102602076|1498639|18979.37689572553|1460861.4952678662|1536416.5047321338|660302|13548.275895847411|633334.8313948547|687269.1686051453|2012
DAL|10364992|3823.7430745278903|10357381.02979344|10372602.97020656|1507103|14702.183164414731|1477839.0364295489|1536366.9635704511|1007404|13128.408745921952|981272.5560516926|1033535.4439483074|558046|10280.952249183923|537582.276434246|578509.723565754|2012
DEN|4396585|1820.6500487463263|4392961.086727717|4400208.913272283|482803|9019.41295484357|464850.3075878792|500755.6924121208|285944|7840.328258434082|270338.21696972667|301549.78303027333|140574|5443.999214731759|129737.99061854451|151410.0093814555|2012
DET|16511299|4001.03154199014|16503335.145926109|16519262.854073891|945563|11491.394267015645|922689.9518653814|968436.0481346186|462347|9278.576528756985|443878.4553976993|480815.5446023007|128939|6102.363316781459|116792.54965321172|141085.45034678828|2012
ELP|2526901|2816.0069868521277|2521295.8783010105|2532506.1216989895|436301|8545.470159681092|419291.66712414747|453310.33287585253|268013|6708.810498143468|254659.44673357625|281366.55326642375|113358|5128.520156926363|103149.93597547647|123566.06402452353|2012
HOU|6293088|3100.443677927403|6286916.721229463|6299259.278770537|1445626|14422.176349289311|1416919.376053581|1474332.623946419|917105|14038.941820878095|889161.1853012247|945048.8146987752|440678|9567.959296527131|421633.45340675424|459722.54659324576|2012
LOS|14287136|3639.8555259790182|14279891.048803108|14294380.951196892|5434442|24113.62672536008|5386445.026615096|5482438.973384904|2766038|22131.101832037195|2721987.1437057974|2810088.8562942026|1121101|16312.059945022273|1088632.656853144|1153569.343146856|2012
MIA|15319646|2241.5232097839184|15315184.35965585|15324107.64034415|3551685|20802.376099859364|3510278.9061187487|3593091.0938812513|1679373|16620.018322793752|1646291.6810353666|1712454.3189646334|571163|10461.70450261333|550339.4980734078|591986.5019265922|2012
NEW|6838531|1209.9110297869013|6836122.732336401|6840939.267663599|1762209|13763.659355345875|1734813.121342616|1789604.878657384|820689|13607.702667974489|793603.545363781|847774.454636219|328431|10559.381250812|307413.0773694212|349448.9226305788|2012
NOL|16621075|4765.656476289495|16611589.198064884|16630560.801935116|726378|9307.113926991546|707852.6531273839|744903.3468726161|457836|8813.006759897555|440294.1488420024|475377.8511579976|235713|7089.627775842679|221601.4489031206|249824.5510968794|2012
NYC|10517239|2757.147121573312|10511751.03593223|10522726.96406777|3921235|20853.7199810969|3879726.7086795457|3962743.2913204543|1782758|16743.005986082666|1749431.8802151177|1816084.1197848823|637351|11655.404594007025|614151.4974755415|660550.5025244585|2012
PHI|12213628|2846.064212206042|12207963.050890489|12219292.949109511|799156|11375.423488820095|776513.7859252213|821798.2140747787|378046|9551.803300947942|359033.61111155135|397058.38888844865|125160|6639.762665186158|111943.88300720204|138376.11699279794|2012
PHO|4933281|1728.9130400341137|4929839.684675994|4936722.315324006|833634|11175.614137487031|811389.4964905882|855878.5035094118|496356|8947.149263871706|478547.14486676623|514164.85513323377|221512|7518.056394441319|206547.6830691623|236476.3169308377|2012
SEA|8902530|3082.4965044586834|8896394.4441846665|8908665.5558153335|1234893|14554.808792972855|1205922.3777781678|1263863.6222218322|656244|11652.058996160293|633051.1567214789|679436.8432785211|266874|7677.160161804624|251592.9949419656|282155.0050580344|2012
SFR|13035513|3999.62841399048|13027551.93878253|13043474.06121747|3836882|20841.679310938453|3795397.6750339936|3878366.3249660064|1946684|18234.321675071988|1910389.4905884492|1982978.5094115508|720798|11914.525026202262|697082.7311568036|744513.2688431964|2012
SLC|6021194|2468.1681061062272|6016281.2342743175|6026106.7657256825|815972|9526.274956665906|797010.4240097944|834933.5759902056|464200|9984.455969155257|444326.4375171615|484073.5624828385|233484|8517.684242210438|216529.9736094184|250438.0263905816|2012
SNA|5317514|3512.247528292959|5310523.046168929|5324504.953831071|1028901|12938.328848811969|1003147.9006228556|1054654.0993771444|676058|12691.11019572362|650796.9770428682|701319.0229571318|307706|8547.383918486405|290692.8578825311|324719.1421174689|2012
SND|2579351|2479.286117010298|2574416.104427176|2584285.895572824|761582|10807.999972242784|740069.2141830821|783094.7858169179|379993|8462.252342018643|363149.3080468086|396836.6919531914|143426|6301.5604535702105|130883.05767041331|155968.9423295867|2012
SPM|9022425|4888.869015426779|9012693.949640457|9032156.050359543|619913|11266.680844419086|597487.2327446303|642338.7672553697|342912|11053.489478440732|320910.57954386115|364913.4204561389|137038|6811.740133769051|123479.5704187064|150596.4295812936|2012
WAS|6853832|1929.7668641574296|6849990.895139542|6857673.104860458|962569|10206.711167168394|942253.0496115516|982884.9503884484|498508|8794.967262588303|481002.055563214|516013.944436786|185253|6885.645133173798|171547.46619710416|198958.53380289584|2012
ATL|18765761|3567.6373274199273|18758659.795531612|18772862.204468388|1803470|15502.171201157598|1772613.7000736324|1834326.2999263676|1128983|14282.001965760965|1100555.386184744|1157410.613815256|610117|10609.472133428691|588999.3739615862|631234.6260384138|2013
BAL|4584537|1152.027104715857|4582243.947407228|4586830.052592772|778325|10805.95435396615|756816.285884411|799833.714115589|377947|7775.755535637679|362469.7457593919|393424.2542406081|153928|5038.353560440157|143899.40809640818|163956.59190359182|2013
BOS|11576107|2512.529651566326|11571105.93482683|11581108.06517317|1717748|16714.403387497863|1684478.8122634836|1751017.1877365164|805993|13216.033652348196|779687.1430382751|832298.8569617249|207134|7031.177924075027|193138.79042285943|221129.20957714057|2013
BUF|4809921|2628.169724351911|4804689.759019643|4815152.240980357|298956|7061.948449259596|284899.54322453693|313012.45677546307|136503|4854.445478115909|126840.4679775335|146165.5320224665|24909|1894.8346365844172|21137.425999259216|28680.574000740784|2013
CHI|29487737|6772.594262909894|29474256.48832559|29501217.51167441|2752120|21157.338250592868|2710007.3716311976|2794232.6283688024|1506290|19356.1268388074|1467762.5932644547|1544817.4067355453|641416|13264.422737156714|615013.8269742451|667818.1730257549|2013
DAL|10497594|4344.810726602484|10488945.870575825|10506242.129424175|1550007|15266.598167240796|1519619.5964685166|1580394.4035314834|1016799|14146.50774926448|988641.0806764544|1044956.9193235456|577050|10812.128391302058|555528.9967704976|598571.0032295024|2013
DEN|4470170|2802.5945925160136|4464591.575004137|4475748.424995863|479600|7829.299904844622|464016.1683584473|495183.8316415527|283748|7181.17746612629|269454.22380284907|298041.77619715093|126344|5410.563020610702|115574.54369816207|137113.45630183793|2013
DET|16582189|4641.099761909886|16572951.122003209|16591426.877996791|1000964|13861.393270519382|973373.5868506122|1028554.4131493878|481308|11057.17310165668|459299.24747525656|503316.75252474344|143615|5855.100024764735|131960.7149247886|155269.2850752114|2013
ELP|2544787|2293.9050547047495|2540221.096201615|2549352.903798385|474384|9171.770254427442|456128.0479688925|492639.9520311075|293985|9059.745374457276|275952.0279147801|312017.9720852199|129932|6105.8053318133225|117778.69849366794|142085.30150633206|2013
HOU|6413737|2893.0094192726024|6407978.608793211|6419495.391206789|1520518|12600.9293010476|1495436.4776236347|1545599.5223763653|957415|13245.283226492364|931050.9232172706|983779.0767827294|475849|10760.19159448381|454431.3743786432|497266.6256213568|2013
LOS|14472609|3484.1596332544814|14465673.953725511|14479544.046274489|5424343|24910.632604371975|5374759.626095662|5473926.373904338|2714274|22152.469584676102|2670180.612258065|2758367.387741935|1128289|16030.070856050512|1096381.9420945705|1160196.0579054295|2013
MIA|15527750|2691.797354928487|15522392.111388983|15533107.888611017|3596532|22300.450487602266|3552144.0636387253|3640919.936361274|1619498|16585.490074158195|1586485.407795122|1652510.592204878|545649|11341.436597715478|523074.4351397656|568223.5648602345|2013
NEW|6879591|1131.115246117742|6877339.571420571|6881842.428579429|1798726|14451.538056553012|1769960.933037185|1827491.066962815|824264|11903.493251982798|800570.689354118|847957.310645882|342596|7933.680561378811|326804.40385870484|358387.59614129516|2013
NOL|16746695|4769.80676233325|16737200.937127156|16756189.062872844|770768|10665.222470722309|749539.4056909997|791996.5943090003|474636|9447.241057578663|455831.73705084785|493440.26294915215|252209|8164.912378586803|235957.14843953133|268460.85156046867|2013
NYC|10611477|4067.2104199315777|10603381.420164596|10619572.579835404|3868607|24570.402672728014|3819700.8368346295|3917513.1631653705|1723883|20372.198987836346|1683333.1522418112|1764432.8477581888|618812|10052.465461268694|598803.0680092867|638820.9319907133|2013
PHI|12258576|3619.224226267281|12251372.114377957|12265779.885622043|843058|13176.53548927031|816830.7621652771|869285.2378347229|397905|9469.355500771951|379056.71935274464|416753.28064725536|143037|6292.584349851816|130511.92415794665|155562.07584205337|2013
PHO|5012262|1430.806905211182|5009414.050094724|5015109.949905276|834413|11852.248257187326|810821.6899647819|858004.3100352181|503701|10115.354200422247|483566.89110521734|523835.10889478266|227722|7895.548967614602|212006.30289752924|243437.69710247076|2013
SEA|8996949|2765.430400498266|8991444.548477951|9002453.451522049|1294583|10504.056026126287|1273675.199474528|1315490.800525472|698099|11132.473076545031|675940.3666244097|720257.6333755903|269870|8306.680182238872|253335.9666849482|286404.0333150518|2013
SFR|13179935|3842.687009112244|13172286.322834864|13187583.677165136|3875559|19669.80516934522|3836407.232165491|3914710.767834509|1901905|19364.654427590493|1863360.6195235688|1940449.3804764312|684488|11491.72535131257|661614.292858573|707361.707141427|2013
SLC|6108358|2145.0179836075968|6104088.448503581|6112627.551496419|825081|10259.874645920389|804659.230354093|845502.769645907|451397|7945.007086214587|435582.8589749643|467211.1410250357|219915|6977.5219347559205|206026.58999807975|233803.41000192025|2013
SNA|5416618|4204.537168345643|5408249.078109346|5424986.921890654|1044208|13124.972230446814|1018083.3962646426|1070332.6037353575|697184|12071.575071215851|673156.1308616896|721211.8691383104|327885|8854.426460816081|310260.7049896014|345509.2950103986|2013
SND|2611326|1749.7699848837276|2607843.169965734|2614808.830034266|776912|11577.915380153718|753866.7358975464|799957.2641024536|389977|10714.58929450868|368650.14348621573|411303.85651378427|151862|8015.637828644705|135907.27199884556|167816.72800115444|2013
SPM|9118880|4815.395949452132|9109295.194120072|9128464.805879928|638023|11324.373029002532|615482.3993236976|660563.6006763024|345861|10259.35733123669|325440.2600432139|366281.7399567861|134832|6859.268251788962|121178.96806620182|148485.0319337982|2013
WAS|6932047|2493.564276292071|6927083.684462032|6937010.315537968|977921|11261.512220834287|955505.5206325311|1000336.4793674689|494119|10256.74579484156|473703.4581763806|514534.5418236194|183288|6874.290508845258|169605.06701148598|196970.932988514|2013
ATL|19013406|4199.63641878675|19005046.832807336|19021765.167192664|1845453|15796.250331961695|1814011.3502058992|1876894.6497941008|1114451|12769.4839010823|1089033.9780845605|1139868.0219154395|625570|10735.68389763782|604201.1557289826|646938.8442710174|2014
BAL|4629135|1095.2373487057498|4626954.984589017|4631315.015410983|826172|11162.08779306094|803954.4200056947|848389.5799943053|404334|9734.1472970158|384958.6644662439|423709.3355337561|154616|6587.354768797563|141504.19831558646|167727.80168441354|2014
BOS|11659365|2549.8584078336585|11654289.63379607|11664440.36620393|1714326|17043.275075524656|1680402.209542912|1748249.790457088|818765|13655.711766510012|791583.9856435081|845946.0143564919|194657|8070.24085762005|178593.5873883424|210720.4126116576|2014
BUF|4817284|3179.698389784792|4810954.9686715845|4823613.0313284155|306400|6864.9354876794|292735.68771533226|320064.31228466774|133352|4439.2671636205905|124515.85974090367|142188.1402590963|17614|1621.0399285643769|14387.400733397604|20840.599266602396|2014
CHI|29625909|8155.5983624747|29609675.68752486|29642142.31247514|2761750|21276.95531085216|2719399.279828457|2804100.720171543|1433270|18898.77439544692|1395652.9305314908|1470887.0694685092|610684|13429.260309116062|583953.7259944848|637414.2740055152|2014
DAL|10665349|4285.3526867692|10656819.21884371|10673878.78115629|1596482|14727.22213793219|1567168.197599447|1625795.802400553|1035562|14138.202979869826|1007420.610906442|1063703.389093558|566087|9537.983799000707|547102.1181421075|585071.8818578925|2014
DEN|4555344|1911.7544690676152|4551538.747915136|4559149.252084864|517624|10060.519549208182|497599.03674825426|537648.9632517458|304478|8267.583658482085|288021.78636887914|320934.21363112086|146523|6130.9340887013295|134319.68095423738|158726.31904576262|2014
DET|16651705|3479.5022776253504|16644779.223960005|16658630.776039995|1024590|14644.542693440448|995440.7669171174|1053739.2330828826|488367|11540.0572203954|465397.0906795963|511336.9093204037|137427|6133.064246361683|125219.4409814745|149634.5590185255|2014
ELP|2572894|3209.102849707376|2566506.44055815|2579281.55944185|472583|9866.818676756962|452943.5886905466|492222.4113094534|288041|8462.650240911531|271196.5160488736|304885.4839511264|124839|5944.790593452389|113006.1903134886|136671.8096865114|2014
