apprehension_landmark|landmark_state|landmark_type
YAKIMA FUGITIVE OPERATIONS STREET ARREST|WA|ICE operational
MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)|OR|County Jail
CHELAN CO. JAIL|WA|County Jail
FRANKLIN CO. JAIL|WA|County Jail
BENTON COUNTY JAIL|WA|County Jail
JACKSON COUNTY JAIL|OR|County Jail
SNAKE RIVER CORRECTIONAL INSTITUTION (SRCI)|OR|State Prison
MARION COUNTY JAIL|OR|County Jail
LANE COUNTY JAIL|OR|County Jail
WASHINGTON COUNTY JAIL|OR|County Jail
SCORE (SOUTH CORRECTIONAL ENTITY)|WA|City Jail
REGIONAL JUSTICE CENTER|WA|County Jail
GRAY'S HARBOR COUNTY JAIL|WA|County Jail
EASTERN OREGON CORRECTIONAL INSTITUTION (EOCI)|OR|State Prison
LYNNWOOD CITY JAIL|WA|City Jail
BENTON CO. JAIL|WA|County Jail
YAKIMA COUNTY JAIL|WA|County Jail
YAMHILL COUNTY JAIL|OR|County Jail
PIERCE COUNTY JAIL|WA|County Jail
KOOTENAI CO. JAIL|ID|County Jail
KLICKITAT CO. JAIL|WA|County Jail
COFFEE CREEK CORRECTIONAL|OR|State Prison
DESCHUTES COUNTY JAIL|OR|County Jail
SUNNYSIDE CITY JAIL|WA|City Jail
SKAGIT COUNTY JAIL|WA|County Jail
VCAS STREET ARREST||ICE operational
SNOHOMISH COUNTY JAIL|WA|County Jail
COLUMBIA RIVER CORRECTIONAL INSTITUTION (CRCI)|OR|State Prison
ISSAQUAH CITY JAIL|WA|City Jail
SHELTON CORRECTONS CENTER|WA|State Prison
YAKIMA CITY JAIL|WA|City Jail
COWLITZ COUNTY JAIL|WA|County Jail
JEFFERSON COUNTY JAIL|WA|County Jail
LINN COUNTY JAIL|OR|County Jail
UMATILLA CO. JAIL|OR|County Jail
GRANT CO. JAIL, WA|WA|County Jail
CLACKAMAS COUNTY JAIL|OR|County Jail
ANCHORAGE CORRECTIONAL COMPLEX|AK|State Prison
LEWIS COUNTY JAIL|WA|County Jail
WHATCOM COUNTY JAIL|WA|County Jail
