"","aor","apprehension_landmark","total"
"1","ATL","287(G) - ADC JEO",1
"2","ATL","287G COLLIER FMY ERO PROGRAM",1
"3","ATL","287g",36
"4","ATL","A - KENOSHA COUNTY JAIL",1
"5","ATL","A - WI DOC - RACINE CORRECTIONAL INSTITUTION",1
"6","ATL","ABBA, GA",1
"7","ATL","ABBEVILLE COUNTY",2
"8","ATL","ABBEVILLE COUNTY DETENTION CENTER",2
"9","ATL","ABBEVILLE, GA",9
"10","ATL","ABQ GENERAL AREA, NON-SPECIFIC",57
"11","ATL","ACWORTH POLICE DEPARTMENT",16
"12","ATL","ACWORTH, GA",37
"13","ATL","ADAIRSVILLE, GA",6
"14","ATL","ADEL PROBATION OFFICE",1
"15","ATL","ADEL, GA",1
"16","ATL","ADELANTO, CA ICE FACILITY",1
"17","ATL","ADRIAN, GA",1
"18","ATL","AIKEN COUNTY DETENTION CENTER",3
"19","ATL","AIKEN COUNTY PROBATION & PAROLE OFFICE",2
"20","ATL","AIKEN COUNTY, SC",338
"21","ATL","AIKEN, SC",102
"22","ATL","ALAMANCE CO PROBATION PRISON CAMP RD",1
"23","ATL","ALAMANCE COUNTY JAIL",146
"24","ATL","ALAMANCE COUNTY JAIL, NC",11
"25","ATL","ALAMANCE COUNTY, NC",31
"26","ATL","ALAMEDA COUNTY JAIL - SANTA RITA",1
"27","ATL","ALAMO, GA",1
"28","ATL","ALBANY PROBATION OFFICE",1
"29","ATL","ALBANY, GA",3
"30","ATL","ALEXANDER CO PROBATION TAYLORSVILLE",1
"31","ATL","ALEXANDER COUNTY JAIL",14
"32","ATL","ALEXANDER COUNTY, NC",9
"33","ATL","ALLEGHANY COUNTY JAIL",78
"34","ATL","ALLEGHANY COUNTY JAIL, NC",2
"35","ATL","ALLEGHANY COUNTY, NC",4
"36","ATL","ALLENDALE CORRECTIONAL INSTITUTION",65
"37","ATL","ALLENDALE COUNTY DETENTION CENTER",6
"38","ATL","ALLENDALE COUNTY, SC",3
"39","ATL","ALPHARETTA, GA",112
"40","ATL","ALTERNATIVE PROBATION SERVICES, INC",4
"41","ATL","AMERICUS, GA",1
"42","ATL","ANDERSON COUNTY",282
"43","ATL","ANDERSON COUNTY DEPT. OF JUVENILE JUSTICE",2
"44","ATL","ANDERSON COUNTY PROBATION & PAROLE OFFICE",2
"45","ATL","ANDERSON, SC",2
"46","ATL","ANSON COUNTY JAIL",3
"47","ATL","ANSON COUNTY, NC",5
"48","ATL","APPLING COUNTY GA",103
"49","ATL","APPLING, GA",9
"50","ATL","ARLINGTON COUNTY JAIL - VA",1
"51","ATL","ASH GENERAL AREA, NON-SPECIFIC",1
"52","ATL","ASHE COUNTY JAIL",29
"53","ATL","ASHE COUNTY JAIL, NC",3
"54","ATL","ASHE COUNTY, NC",12
"55","ATL","ASHEBORO, NC",98
"56","ATL","ASHEVILLE, NC",72
"57","ATL","ATHENS DIVISION (FEDERAL PROBATION & PAROLE)",5
"58","ATL","ATHENS DRC PROBATION",1
"59","ATL","ATHENS PROBATION OFFICE",25
"60","ATL","ATHENS, GA",151
"61","ATL","ATHENS-CLARK COUNTY",102
"62","ATL","ATHENS-CLARKE COUNTY PROBATION",33
"63","ATL","ATKINSON COUNTY GA",115
"64","ATL","ATL GENERAL AREA, NON-SPECIFIC",173
"65","ATL","ATLANTA - STEWART DETENTION FACILITY",4
"66","ATL","ATLANTA CENTRAL PROBATION",70
"67","ATL","ATLANTA COURT SERVICES",10
"68","ATL","ATLANTA DISTRICT OFFICE",54
"69","ATL","ATLANTA METRO DRC PROBATION",2
"70","ATL","ATLANTA PROBATION",6
"71","ATL","ATLANTA, GA",12221
"72","ATL","AUBURN, GA",5
"73","ATL","AUGUSTA PROBATION OFFICE",3
"74","ATL","AUGUSTA, GA",74
"75","ATL","AUGUSTA-RICHMOND COUNTY GA",73
"76","ATL","AUSTELL, GA",63
"77","ATL","AVERY COUNTY JAIL",34
"78","ATL","AVERY COUNTY, NC",22
"79","ATL","AXSON, GA",1
"80","ATL","BACON COUNTY GA",37
"81","ATL","BAINBRIDGE, GA",4
"82","ATL","BAKER COUNTY JAIL, GA",1
"83","ATL","BALDWIN COUNTY GA",17
"84","ATL","BALDWIN, GA",6
"85","ATL","BAMBERG COUNTY DETENTION CENTER",3
"86","ATL","BAMBERG COUNTY, SC",2
"87","ATL","BANKS COUNTY GA",28
"88","ATL","BANKS COUNTY PROBATION",2
"89","ATL","BARNWELL COUNTY JAIL",15
"90","ATL","BARNWELL COUNTY PROBATION & PAROLE OFFICE",1
"91","ATL","BARNWELL COUNTY, SC",5
"92","ATL","BARROW COUNTY GA",94
"93","ATL","BARTOW COUNTY GA",25
"94","ATL","BARTOW COUNTY, GA",404
"95","ATL","BEAUFORT COUNTY DEPT. OF JUVENILE JUSTICE",7
"96","ATL","BEAUFORT COUNTY DETENTION CENTER",1383
"97","ATL","BEAUFORT COUNTY FUGITIVE OPERATIONS",16
"98","ATL","BEAUFORT COUNTY JAIL",36
"99","ATL","BEAUFORT COUNTY, SC",118
"100","ATL","BEN HILL COUNTY GA",22
"101","ATL","BEN HILL COUNTY JAIL, GA",28
"102","ATL","BENNETTSVILLE FEDERAL CORRECTIONAL INSTITUTION",533
"103","ATL","BERKELEY COUNTY DEPT. OF JUVENILE JUSTICE",3
"104","ATL","BERKELEY COUNTY DETENTION CENTER",563
"105","ATL","BERKELEY COUNTY PROBATION & PAROLE OFFICE",1
"106","ATL","BERKELEY COUNTY PROBATION & PAROLE OFFICE	",4
"107","ATL","BERKELEY COUNTY, SC",300
"108","ATL","BERRIEN COUNTY JAIL",2
"109","ATL","BERRIEN COUNTY, GA",18
"110","ATL","BERTIE COUNTY JAIL",16
