year_mth,landmark,n
Oct 2021,ANCHORAGE CORRECTIONAL COMPLEX,25
Oct 2021,Anchorage CAP,1
Oct 2021,CLACKAMAS COUNTY JAIL,8
Oct 2021,CLARK COUNTY JAIL,3
Oct 2021,COOS COUNTY JAIL,1
Oct 2021,COYOTE RIDGE CORRECTIONS,2
Oct 2021,CROOK COUNTY JAIL,3
Oct 2021,DESCHUTES COUNTY JAIL,2
Oct 2021,DOUGLAS COUNTY JAIL,2
Oct 2021,Eugene CAP,10
Oct 2021,Eugene Non-Detained Docket,9
Oct 2021,FAIRBANKS CORRECTIONAL CENTER,1
Oct 2021,FEDERAL DETENTION CENTER (FDC),6
Oct 2021,"GRANT CO. JAIL, WA",1
Oct 2021,HILAND MOUNTAIN CORRECTIONAL CENTER,5
Oct 2021,ISSAQUAH CITY JAIL,1
Oct 2021,JACKSON COUNTY JAIL,9
Oct 2021,JEFFERSON COUNTY JAIL,2
Oct 2021,JOSEPHINE COUNTY JAIL,7
Oct 2021,KENT CITY JAIL,3
Oct 2021,KING COUNTY JAIL,7
Oct 2021,KIRKLAND CITY PD,1
Oct 2021,LAKE COUNTY JAIL,1
Oct 2021,Medford Fug Ops,1
Oct 2021,Medford Non-Detained Docket,5
Oct 2021,NORTHWEST DETENTION CENTER DETAINED DOCKET,1
Oct 2021,OREGON DEPARTMENT OF CORRECTIONS,1
Oct 2021,POO CAP NON-CUSTODIAL ARREST,18
Oct 2021,POO VCAS NON-CUSTODIAL ARREST,1
Oct 2021,PORTALND NON-DETAINED ARREST,3
Oct 2021,Richland CAP,1
Oct 2021,SCORE (SOUTH CORRECTIONAL ENTITY),2
Oct 2021,SEA CAP,8
Oct 2021,"SEA GENERAL AREA, NON-SPECIFIC",4
Oct 2021,SEATTLE NON-DETAINED DOCKET,129
Oct 2021,SEWARD JAIL,1
Oct 2021,SHERIDAN FCI,3
Oct 2021,SNOHOMISH COUNTY JAIL,11
Oct 2021,SPOKANE CO. JAIL,5
Oct 2021,STAFFORD CREEK CORRECTIONS,1
Oct 2021,Spokane CAP,13
Oct 2021,"TAC GENERAL AREA, NON-SPECIFIC",5
Oct 2021,WASHINGTON CORRECTIONS CENTER (Shelton),2
Oct 2021,WASHINGTON COUNTY JAIL,26
Oct 2021,WASHINGTON DEPARTMENT OF CORRECTIONS,1
Oct 2021,WASHINGTON STATE PENITENTIARY,1
Oct 2021,Washington Correction Center for Women,1
Oct 2021,Wenatchee CAP,1
Oct 2021,YAKIMA Fug Ops,2
Oct 2021,YAKIMA NON DETAINED DOCKET,20
Oct 2021,NA,646
Nov 2021,A - ERO-MIL KNAPP ST OFFICE,2
Nov 2021,AIRWAY HEIGHTS,5
Nov 2021,AK PROBATION BETHEL,1
Nov 2021,ANCHORAGE CORRECTIONAL COMPLEX,24
Nov 2021,BARROW JAIL,1
Nov 2021,"CHI GENERAL AREA, NON-SPECIFIC",3
Nov 2021,CLALLAM BAY CORRECTIONS,1
Nov 2021,COYOTE RIDGE CORRECTIONS,1
Nov 2021,DALLAS COUNTY GENERAL AREA,5
Nov 2021,DESCHUTES COUNTY JAIL,3
Nov 2021,DOUGLAS COUNTY JAIL,1
Nov 2021,DUTY WINDOW 126 NORTHPOINT,2
Nov 2021,Eugene CAP,89
Nov 2021,Eugene Non-Detained Docket,12
Nov 2021,FAIRBANKS CORRECTIONAL CENTER,3
Nov 2021,FEDERAL DETENTION CENTER (FDC),14
