apprehension_landmark,n,county,specificity
		COOK INLET PRETRIAL FACILITY,5,"ANCHORAGE BOROUGH, AK",SPECIFIC
 MULTNOMAH COUNTY JAILS (INVERNESS & MCDC),32,"MULTNOMAH COUNTY, OR",SPECIFIC
"ABERDEEN CITY JAIL, WA",11,NA
"ANC GENERAL AREA, NON-SPECIFIC",1,"ANCHORAGE BOROUGH, AK",NONSPECIFIC
"ATLANTA, GA",1,"FULTON COUNTY, GA",NONAOR
"DSM GENERAL AREA, NON-SPECIFIC IOWA",1,"POLK COUNTY, IA",NONAOR
"GRANT CO. JAIL, WA",441,"GRANT COUNTY, WA",SPECIFIC
"JAK GENERAL AREA, NON-SPECIFIC",7,NA,NONSPECIFIC
"JNA GENERAL AREA, NON-SPECIFIC",2,"LA SALLE BOROUGH, LA",NONAOR
"KAN GENERAL AREA, NON-SPECIFIC",1,NA,NONSPECIFIC
"KENT COUNTY JAIL, GRAND RAPIDS, MI",1,NA
"MED GENERAL AREA, NON-SPECIFIC",1,NA,NONSPECIFIC
"POM GENERAL AREA, NON-SPECIFIC",1,NA,NONSPECIFIC
"TEXAS DEPT OF CRIMINAL JUSTICE, WALKER CO",2,"WALKER COUNTY, TX",NONSPECIFIC
"WNT GENERAL AREA, NON-SPECIFIC",1,"CHELAN COUNTY, WA",NONSPECIFIC
"XJA GENERAL AREA, NON-SPECIFIC",3,NA,NONSPECIFIC
ADAMS CO. JAIL,26,"ADAMS COUNTY, WA",SPECIFIC
Adams County Correctional Center,1,NA
AIRWAY HEIGHTS,110,"SPOKANE COUNTY, WA",SPECIFIC
AK PROBATION ANCHORAGE,3,"ANCHORAGE BOROUGH, AK",SPECIFIC
Anchorage CAP,19,"ANCHORAGE BOROUGH, AK",NONSPECIFIC
ANCHORAGE CORRECTIONAL COMPLEX,23,"ANCHORAGE BOROUGH, AK",SPECIFIC
ANCHORAGE NON-DETAINED DOCKET,31,"ANCHORAGE BOROUGH, AK",NONSPECIFIC
BENTON CO. JAIL,367,"BENTON COUNTY, WA",SPECIFIC
BENTON COUNTY JAIL,8,"BENTON COUNTY, WA",SPECIFIC
BONNERS FERRY CO. JAIL,3,"BOUNDARY COUNTY, ID",NONAOR
BOTHELL CITY JAIL,1,"KING COUNTY, WA",SPECIFIC
BREMERTON CITY JAIL,1,"KITSAP COUNTY, WA",SPECIFIC
CHELAN CO. JAIL,167,"CHELAN COUNTY, WA",SPECIFIC
CITY OF GRAND JUNCTION,1,"MESA COUNTY, CO",NONAOR
CLACKAMAS COUNTY JAIL,17,"CLACKAMAS COUNTY, OR",SPECIFIC
CLALLAM BAY CORRECTIONS,20,"CLALLAM COUNTY, WA",SPECIFIC
CLALLAM COUNTY JAIL,6,"CLALLAM COUNTY, WA",SPECIFIC
CLARK COUNTY JAIL,157,"CLARK COUNTY, WA",SPECIFIC
COFFEE CREEK CORRECTIONAL FACILITY (CCCF) & STATE INTAKE,1,"CLACKAMAS COUNTY, OR",NONSPECIFIC
COFFEE CREEK CORRECTIONAL,42,"CLACKAMAS COUNTY, OR",SPECIFIC
COLUMBIA COUNTY JAIL,5,NA,AMBIGUOUS
COLUMBIA RIVER CORRECTIONAL INSTITUTION (CRCI),2,"MULTNOMAH COUNTY, OR",SPECIFIC
COOS COUNTY JAIL,2,"COOS COUNTY, OR",SPECIFIC
COWLITZ COUNTY JAIL,21,"COWLITZ COUNTY, WA",SPECIFIC
COWLITZ COUNTY JUVENILE FACILITY,1,"COWLITZ COUNTY, WA",SPECIFIC
COYOTE RIDGE CORRECTIONS,197,"FRANKLIN COUNTY, WA",SPECIFIC
CROOK COUNTY JAIL,4,"CROOK COUNTY, OR",SPECIFIC
DESCHUTES COUNTY JAIL,16,"DESCHUTES COUNTY, OR",SPECIFIC
DOUGLAS COUNTY JAIL,7,"DOUGLAS COUNTY, OR",SPECIFIC
