"","apprehension_landmark","total"
"1","		COOK INLET PRETRIAL FACILITY",5
"2"," ADELANTO DETENTION CENTER (SBSD) ADELANTO, CA",60
"3"," LICENSING UNIT/ STATE POLICE",27
"4"," MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)",32
"5"," WASHINGTON COUNTY 287G JAIL ENFORCEMENT OFFICER",13
"6","10TH DISTRICT COURT, BATTLE CREEK, MICHIGAN",2
"7","12TH DISTRICT COURT PROBATION, JACKSON",4
"8","14A-2 DISTRICT COURT PROBATION, YPSILANTI",3
"9","14B DISTRICT COURT PROBATION, YPSILANTI",1
"10","16TH CIRCUIT COURT PROBATION OFFICE, MT. CLEMENS",3
"11","16TH DISTRICT COURT PROBATION, LIVONIA",1
"12","17TH CIRCUIT COURT PROBATION, KENT COUNTY",6
"13","17TH DISTRICT COURT PROBATION, REDFORD",2
"14","18TH DISTRICT COURT PROBATION, WESTLAND",4
"15","1ST DISTRICT COURT PROBATION, MONROE",1
"16","22ND CIRCUIT COURT PROBATION OFFICE, ANN ARBOR",2
"17","22ND DISTRICT COURT PROBATION, INKSTER",1
"18","23RD DISTRICT COURT PROBATION, TAYLOR",2
"19","24TH DISTRICT COURT PROBATION, ALLEN PARK",1
"20","25TH DISTRICT COURT PROBATION, LINCOLN PARK",1
"21","27TH DISTRICT COURT PROBATION, WYANDOTTE",1
"22","287(G) - ADC JEO",21
"23","287(G) - AZ DOC (JEO)",3
"24","287(G) - MESA CITY JAIL JEO",29
"25","287(G) - YCSO CAMP VERDE JAIL JEO",22
"26","287(G) MASSACHUSETTS DOC JAIL ENFORCMENT",1
"27","287(G) PINAL COUNTY JAIL FLORENCE JEO",37
"28","287(G) PINAL COUNTY SHERIFF PATROL (TFO)",1
"29","287(G)- LOS ANGELES COUNTY JAIL ENFORCEMENT OFFICER",2
"30","287(G)- RIVERSIDE COUNTY JAIL ENFORCEMENT OFFICER",1
"31","287(G)- SAN BERNARDINO COUNTY JAIL ENFORCEMENT OFFICER",2
"32","287(G)-ANNE ARUNDEL COUNTY DETENTION FACILITIES",1
