"","landmark","total"
"1","",572543
"2","		COOK INLET PRETRIAL FACILITY",15
"3"," ADELANTO DETENTION CENTER (SBSD) ADELANTO, CA",51
"4"," LICENSING UNIT/ STATE POLICE",332
"5"," MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)",2073
"6"," WASHINGTON COUNTY 287G JAIL ENFORCEMENT OFFICER",7
"7","111 DRAG (WINSLOW RD TO RIV COUNTY, SALTON SEA TO TO COACHELLA CANAL)",1
"8","14A-2 DISTRICT COURT PROBATION, YPSILANTI",1
"9","16TH CIRCUIT COURT PROBATION OFFICE, MT. CLEMENS",1
"10","16TH DISTRICT COURT PROBATION, LIVONIA",1
"11","17TH CIRCUIT COURT PROBATION, KENT COUNTY",4
"12","17TH DISTRICT COURT PROBATION, REDFORD",1
"13","18TH DISTRICT COURT PROBATION, WESTLAND",3
"14","25TH DISTRICT COURT PROBATION, LINCOLN PARK",1
"15","287(G) - ADC JEO",102
"16","287(G) - MCSO LOWER BUCKEYE JAIL JEO",1
"17","287(G) - MESA CITY JAIL JEO",18
"18","287(G) - YCSO CAMP VERDE JAIL JEO",12
"19","287(G) PINAL COUNTY JAIL FLORENCE JEO",4
"20","287(G)- RIVERSIDE COUNTY JAIL ENFORCEMENT OFFICER",1
"21","287(G)- SAN BERNARDINO COUNTY JAIL ENFORCEMENT OFFICER",1
"22","287(G)-ANNE ARUNDEL COUNTY DETENTION FACILITIES",209
"23","287(G)-CLAY COUNTY SHERIFF'S OFFICE",161
"24","287(G)-KNOX COUNTY SHERIFF'S OFFICE",308
"25","287(G)-PASCO COUNTY SHERIFF'S OFFICE",533
"26","287g",1
"27","2A DISTRICT COURT PROBATION, ADRIAN",1
"28","30TH CIRCUIT COURT, LANSING, MICHIGAN",2
"29","30TH DISTRICT COURT PROBATION, HIGHLAND PARK",1
"30","33RD DISTRICT COURT PROBATION, WOODHAVEN",2
"31","35TH DISTRICT COURT PROBATION, PLYMOUTH",1
"32","36TH DISTRICT COURT PROBATION, DETROIT",3
"33","37TH DISTRICT COURT PROBATION, WARREN",1
"34","39TH CIRCUIT COURT PROBATION OFFICE, ADRIAN",1
"35","3RD CIRCUIT COURT PROBATION, LAWTON OFFICE, DETROIT",1
"36","3RD CIRCUIT COURT PROBATION, LINCOLN PARK OFFICE, DETROIT",1
"37","40TH DISTRICT COURT PROBATION, ST. CLAIR SHORES",2
"38","41A DISTRICT COURT PROBATION, SHELBY TOWNSHIP",1
"39","42-ANIMAS MOUNTAINS TO HATCHET MOUNTAINS",1
"40","44TH DISTRICT COURT PROBATION, ROYAL OAK",1
"41","45B DISTRICT COURT PROBATION, OAK PARK",1
"42","47TH DISTRICT COURT PROBATION, FARMINGTON HILLS",2
"43","48TH DISTRICT COURT PROBATION, BLOOMFIELD HILLS",2
"44","50TH DISTRICT COURT PROBATION, PONTIAC",3
"45","52-1 DISTRICT COURT PROBATION, NOVI",8
"46","52-2 DISTRICT COURT PROBATION, CLARKSTON",1
"47","52-3 DISTRICT COURT PROBATION, ROCHESTER HILLS",8
"48","52-4 DISTRICT COURT PROBATION, TROY",7
"49","53RD DISTRICT COURT PROBATION, HOWELL",2
"50","54A DISTRICT COURT, LANSING, MICHIGAN",2
"51","54B DISTRICT COURT, EAST LANSING, MICHIGAN",1
"52","54TH CIRCUIT COURT PROBATION OFFICE, CARO",1
"53","56TH CIRCUIT COURT PROBATION",1
"54","61ST DISTRICT COURT, GRAND RAPIDS, MI",1
"55","62-A DISTRCIT COURT, WYOMING, MI",2
"56","62A DISTRICT COURT PROBATION, WYOMING, MI",3
"57","62B DISTRICT COURT PROBATION, KENTWOOD, MI",8
"58","63RD DISTRICT COURT PROBATION, GRAND RAPIDS",1
"59","6TH CIRCUIT COURT PROBATION OFFICE, PONTIAC",1
"60","77TH ST REGIONAL JAIL, LAPD",2
"61","78TH DISTRICT COURT PROBATION, OCEANA COUNTY",1
"62","86TH DISTRICT COURT PROBATION, LEELANAU COUNTY",1
"63","A - CALUMET COUNTY GENERAL AREA",4
"64","A - CALUMET COUNTY JAIL",9
"65","A - DODGE COUNTY GENERAL AREA",8
"66","A - DODGE COUNTY JAIL",14
"67","A - ERO-MIL KNAPP ST OFFICE",1
"68","A - FOND DU LAC COUNTY GENERAL AREA",7
"69","A - FOND DU LAC COUNTY JAIL",13
"70","A - GREEN LAKE COUNTY GENERAL AREA",1
"71","A - GREEN LAKE COUNTY JAIL",1
"72","A - KENOSHA COUNTY GENERAL AREA",18
"73","A - KENOSHA COUNTY JAIL",52
"74","A - MANITOWOC COUNTY GENERAL AREA",2
"75","A - MANITOWOC COUNTY JAIL",35
"76","A - MILWAUKEE COUNTY HOUSE OF CORRECTIONS (HOC)",14
"77","A - MILWAUKEE COUNTY JAIL (CJF)",70
"78","A - OZAUKEE COUNTY GENERAL AREA",2
"79","A - OZAUKEE COUNTY JAIL",64
"80","A - RACINE COUNTY GENERAL AREA",30
"81","A - RACINE COUNTY JAIL",45
"82","A - SHEBOYGAN COUNTY DETENTION CENTER",48
"83","A - SHEBOYGAN COUNTY GENERAL AREA",5
"84","A - SHEBOYGAN COUNTY JAIL",31
"85","A - U.S. MARSHALL - EASTERN DISTRICT OF WISCONSIN",17
"86","A - WALWORTH COUNTY GENERAL AREA",19
"87","A - WALWORTH COUNTY JAIL",227
"88","A - WASHINGTON COUNTY GENERAL AREA",10
"89","A - WASHINGTON COUNTY JAIL",13
"90","A - WAUKESHA COUNTY GENERAL AREA",39
"91","A - WAUKESHA COUNTY JAIL",39
"92","A - WAUSHARA COUNTY JAIL",12
"93","A - WI DOC - DODGE CORRECTIONAL INSTITUTION",96
"94","A - WI DOC - FOX LAKE CORRECTIONAL INSTITUTION",6
"95","A - WI DOC - KENOSHA COUNTY CORRECTIONAL CENTER",1
"96","A - WI DOC - KETTLE MORAINE CORRECTIONAL INSTITUTION",4
"97","A - WI DOC - MILWAUKEE SECURE DETENTION FACILITY",3
"98","A - WI DOC - RACINE CORRECTIONAL INSTITUTION",60
"99","A - WI DOC - RED GRANITE CORRECTIONAL INSTITUTION",4
"100","A - WI DOC - TAYCHEEDAH CORRECTIONAL INSTITUTION",4
"101","A - WI DOC - WINNEBAGO CORRECTIONAL CENTER",1
"102","A - WI DOC - WISCONSIN RESCOURCE CENTER",1
"103","A - WI DOC OSHKOSH CORRECTIONAL INSTITUTION",6
"104","A - WINNEBAGO COUNTY GENERAL AREA",2
"105","A - WINNEBAGO COUNTY JAIL",12
"106","A C WAGNER YOUTH CORRECTIONAL FACILITY",1
"107","A-Washington County Jail",6
"108","AB4 REFERRAL RIVERSIDE COUNTY",41
"109","AB4 REFERRAL SAN BERNARDINO COUNTY",52
"110","ABBEVILLE COUNTY",1
"111","ABBEVILLE, GA",1
"112","ABERDEEN CITY JAIL, WA",19
"113","ABERDEEN TWP PD",16
"114","ABLEMARLE/CHARLOTTESVILLE REGIONAL JAIL-VA",3
"115","ABQ GENERAL AREA, NON-SPECIFIC",383
"116","ABRAM CURVE TO CHIMNEY PARK",1
"117","ABSECON POLICE DEPARTMENT",3
"118","ABT GENERAL AREA, NON-SPECIFIC",17
"119","ACADIA PARISH JAIL",1
"120","ACCOMACK COUNTY JAIL - VA",38
"121","ACCOMACK COUNTY JAIL VA",71
"122","ACCOMACK COUNTY JAIL-VA",2
"123","ACWORTH POLICE DEPARTMENT",9
"124","ACWORTH, GA",28
"125","ADA COUNTY FELONY PROBATION OFFICE ID",1
"126","ADA COUNTY GENERAL AREA ID",36
"127","ADA COUNTY JAIL ID",679
"128","ADA COUNTY MISDEMEANOR PROBATION OFFICE ID",2
"129","ADAIR COUNTY IOWA",6
"130","ADAIR COUNTY JAIL",44
"131","ADAIR COUNTY REGIONAL JAIL, KY",10
"132","ADAIR COUNTY SHERIFF'S DEPARTMENT, MISSOURI",4
"133","ADAIRSVILLE, GA",1
"134","ADAMS CO. JAIL",138
"135","Adams County",32
"136","ADAMS COUNTY",389
"137","Adams County Correctional Center",3230
"138","ADAMS COUNTY CORRECTIONAL CENTER, NATCHEZ, MS",528
"139","ADAMS COUNTY IOWA",8
"140","ADAMS COUNTY JAIL",1453
"141","ADAMS COUNTY JAIL ID",1
"142","ADAMS COUNTY JAIL, ND",4
"143","ADAMS COUNTY JAIL, NE",11
"144","ADAMS COUNTY MISDEMEANOR PROBATION OFFICE ID",1
"145","Adams County Probation",59
"146","ADAMS COUNTY PROBATION",5
"147","ADAMS COUNTY PROBATION OFFICE",86
"148","ADAMS COUNTY SHERIFF'S OFFICE",16
"149","ADAMS COUNTY, MS",1
"150","Adams Village Police Department",1
"151","ADC BOOT CAMP - WRIGHTSVILLE",2
"152","ADC CUMMINS UNIT",29
"153","ADC DELTA REGIONAL UNIT",12
"154","ADC DIAGNOSTIC UNIT",8
"155","ADC EAST ARKANSAS REGIONAL UNIT",11
"156","ADC GRIMES UNIT",35
"157","ADC MAXIMUM SECURITY UNIT - VARNER",1
"158","ADC MCPHERSON UNIT",3
