aor|apprehension_landmark|n
ATL|287G|27
ATL|287G COLLIER FMY ERO PROGRAM|1
ATL|A - WI DOC - RACINE CORRECTIONAL INSTITUTION|1
ATL|ABBEVILLE COUNTY|1
ATL|ABBEVILLE COUNTY DETENTION CENTER|1
ATL|ABBEVILLE, GA|2
ATL|ABQ GENERAL AREA, NON-SPECIFIC|1
ATL|ACWORTH POLICE DEPARTMENT|5
ATL|ACWORTH, GA|16
ATL|ADAIRSVILLE, GA|1
ATL|ADRIAN, GA|1
ATL|AIKEN COUNTY, SC|151
ATL|ALAMANCE COUNTY JAIL|73
ATL|ALAMANCE COUNTY JAIL, NC|6
ATL|ALAMANCE COUNTY, NC|6
ATL|ALAMO, GA|1
ATL|ALBANY, GA|3
ATL|ALEXANDER CO PROBATION TAYLORSVILLE|1
ATL|ALEXANDER COUNTY JAIL|9
ATL|ALEXANDER COUNTY, NC|1
ATL|ALLEGHANY COUNTY JAIL|25
ATL|ALLEGHANY COUNTY JAIL, NC|1
ATL|ALLEGHANY COUNTY, NC|1
ATL|ALLENDALE CORRECTIONAL INSTITUTION|30
ATL|ALLENDALE COUNTY DETENTION CENTER|2
ATL|ALPHARETTA, GA|45
ATL|ALTERNATIVE PROBATION SERVICES, INC|1
ATL|AMERICUS, GA|1
ATL|ANDERSON COUNTY|101
ATL|ANDERSON COUNTY DEPT. OF JUVENILE JUSTICE|1
ATL|ANDERSON COUNTY PROBATION & PAROLE OFFICE|1
ATL|ANSON COUNTY JAIL|1
ATL|APPLING COUNTY GA|28
ATL|APPLING, GA|6
ATL|ASHE COUNTY JAIL|10
ATL|ASHE COUNTY JAIL, NC|1
ATL|ASHE COUNTY, NC|3
ATL|ASHEBORO, NC|29
ATL|ASHEVILLE, NC|40
ATL|ATHENS DIVISION (FEDERAL PROBATION & PAROLE)|4
ATL|ATHENS DRC PROBATION|1
ATL|ATHENS PROBATION OFFICE|17
ATL|ATHENS-CLARK COUNTY|11
ATL|ATHENS-CLARKE COUNTY PROBATION|16
ATL|ATHENS, GA|65
ATL|ATKINSON COUNTY GA|47
ATL|ATL GENERAL AREA, NON-SPECIFIC|31
ATL|ATLANTA CENTRAL PROBATION|39
ATL|ATLANTA COURT SERVICES|3
ATL|ATLANTA METRO DRC PROBATION|2
ATL|ATLANTA PROBATION|4
ATL|ATLANTA, GA|5303
ATL|AUGUSTA PROBATION OFFICE|3
ATL|AUGUSTA-RICHMOND COUNTY GA|47
ATL|AUGUSTA, GA|58
ATL|AUSTELL, GA|27
ATL|AVERY COUNTY JAIL|9
ATL|AVERY COUNTY, NC|7
ATL|BACON COUNTY GA|17
ATL|BAKER COUNTY JAIL, GA|1
ATL|BALDWIN COUNTY GA|2
ATL|BAMBERG COUNTY DETENTION CENTER|2
ATL|BANKS COUNTY GA|8
ATL|BANKS COUNTY PROBATION|1
ATL|BARNWELL COUNTY JAIL|4
ATL|BARNWELL COUNTY, SC|1
ATL|BARROW COUNTY GA|30
ATL|BARTOW COUNTY GA|17
ATL|BARTOW COUNTY, GA|112
ATL|BEAUFORT COUNTY DEPT. OF JUVENILE JUSTICE|6
ATL|BEAUFORT COUNTY DETENTION CENTER|562
ATL|BEAUFORT COUNTY FUGITIVE OPERATIONS|2
ATL|BEAUFORT COUNTY JAIL|15
ATL|BEAUFORT COUNTY, SC|49
ATL|BEN HILL COUNTY JAIL, GA|1
ATL|BERKELEY COUNTY DEPT. OF JUVENILE JUSTICE|1
ATL|BERKELEY COUNTY DETENTION CENTER|273
ATL|BERKELEY COUNTY, SC|145
ATL|BERRIEN COUNTY, GA|2
ATL|BERTIE COUNTY JAIL|11
ATL|BIBB COUNTY, GA|15
ATL|BIL GENERAL AREA, NON-SPECIFIC|1
ATL|BLADEN COUNTY JAIL|17
ATL|BLADEN COUNTY PROBATION ELIZABETHTOWN, NC|1
ATL|BLADEN COUNTY, NC|1
ATL|BLAIRSVILLE PROBATION OFFICE|3
ATL|BLAIRSVILLE, GA|1
ATL|BLECKLEY COUNTY, GA|1
ATL|BLUE RIDGE PROBATION OFFICE|1
ATL|BLUE RIDGE, GA|5
ATL|BOGART, GA|7
ATL|BOONE, NC|9
ATL|BOP GILES W DALBY|2
ATL|BRANTLEY COUNTY GA|8
ATL|BREMEN, GA|1
ATL|BROOKS COUNTY JAIL, GA|3
ATL|BROOKS, GA (FAYETTE COUNTY)|1
ATL|BRUNSWICK CO PROBATION SHALOTTE|1
ATL|BRUNSWICK COUNTY|1
ATL|BRUNSWICK COUNTY FUGITIVE OPERATIONS|3
ATL|BRUNSWICK COUNTY JAIL|121
ATL|BRUNSWICK COUNTY PROBATAION GOVT. CENTER DR. BOLIVIA, NC|1
ATL|BRUNSWICK PROBATION OFFICE|4
ATL|BRUNSWICK, GA|21
ATL|BRYAN COUNTY JAIL|9
ATL|BSD GENERAL AREA, NON-SPECIFIC|2
ATL|BUCHANAN, GA|1
ATL|BUFFALO GENERAL - DO NOT USE|1
ATL|BUFORD, GA|17
ATL|BULLOCH COUNTY JAIL|32
ATL|BUNCOMBE COUNTY JAIL|30
ATL|BUNCOMBE COUNTY, NC|9
ATL|BURKE COUNTY JAIL|27
ATL|BURKE COUNTY, NC|2
ATL|BURLINGTON, NC|13
ATL|BUTNER BOP FACILITY|168
ATL|BUTNER MEDICAL FACILITY|24
ATL|BUTTS COUNTY JAIL|25
ATL|BYRON, GA|4
ATL|CABARRUS COUNTY JAIL|5
ATL|CABARRUS COUNTY JAIL 287G|197
ATL|CABARRUS COUNTY, NC|35
ATL|CAIRO, GA|22
ATL|CALDWELL COUNTY JAIL|13
ATL|CALDWELL COUNTY, NC|2
ATL|CALHOUN COUNTY GA|3
ATL|CALHOUN COUNTY PROBATION|2
ATL|CALHOUN COUNTY, SC|1
ATL|CALHOUN PROBATION OFFICE|1
ATL|CALHOUN, GA|26
ATL|CAMDEM COUNTY GA|1
ATL|CAMDEN COUNTY GA|18
ATL|CANTON PROBATION OFFICE|14
ATL|CANTON, GA|89
ATL|CAP - EASTERLING CORRECTIONAL FACILITY - DOC - AL STATE|1
ATL|CAP - LIMESTONE COUTY JAIL, AL|1
ATL|CAP - PUTNAM COUNTY PROBATION NY STATE|1
ATL|CAP-YRK GENERAL AREA, NON-SPECIFIC PA STATE|1
ATL|CARNESVILLE, GA|4
ATL|CARROLL COUNTY GA|20
ATL|CARROLLTON PROBATION OFFICE|5
ATL|CARROLLTON, GA|94
ATL|CARTERET COUNTY FUGITIVE OPERATIONS|1
ATL|CARTERET COUNTY JAIL|20
ATL|CARTERET COUNTY PROBATION COURTHOUSE SQUARE BEAUFORT, NC|1
ATL|CARTERET COUNTY, NC|2
ATL|CARTERET DOC|1
ATL|CARTERSVILLE PROBATION OFFICE|1
ATL|CARTERSVILLE, GA|70
ATL|CASWELL COUNTY JAIL|10
ATL|CASWELL COUNTY, NC|1
ATL|CATAWBA COUNTY JAIL|32
ATL|CATAWBA COUNTY, NC|10
ATL|CATOOSA COUNTY, GA|14
ATL|CAX GENERAL AREA, NON-SPECIFIC|1
ATL|CCG GENERAL AREA, NON-SPECIFIC|7
ATL|CCN GENERAL AREA, CABARRUS 287G|3
ATL|CEDARTOWN PROBATION OFFICE|1
ATL|CEDARTOWN, GA|45
ATL|CENTERVILLE, GA (GWINNETT COUNTY)|2
ATL|CHAMBLEE, GA|204
ATL|CHARLESTON COUNTY DEPT. OF JUVENILE JUSTICE|3
ATL|CHARLESTON COUNTY DETENTION CENTER|1039
ATL|CHARLESTON COUNTY, SC|653
ATL|CHARLOTTE AIRPORT|6
ATL|CHARLOTTE GENERAL AREA|1
ATL|CHATHAM CO PROBATION SILER CITY|2
ATL|CHATHAM COUNTY FUGITIVE OPERATIONS|24
ATL|CHATHAM COUNTY GA|214
ATL|CHATHAM COUNTY JAIL|21
ATL|CHATHAM COUNTY, GA|8
ATL|CHATSWORTH MUNICIPAL PROBATION|4
ATL|CHATSWORTH, GA|22
ATL|CHATTOOGA COUNTY, GA|11
ATL|CHEROKEE COUNTY|37
ATL|CHEROKEE COUNTY, GA|108
ATL|CHEROKEE COUNTY, NC|2
ATL|CHESTER COUNTY|17
ATL|CHESTER COUNTY DETENTION CENTER|1
ATL|CHESTER COUNTY, SC|2
ATL|CHESTER, GA|1
ATL|CHESTERFIELD COUNTY JAIL-VA|1
ATL|CHESTERFIELD, SC|18
ATL|CHI GENERAL AREA, NON-SPECIFIC|1
ATL|CHL GENERAL AREA, NON-SPECIFIC|88
ATL|CHOWAN COUNTY JAIL|4
ATL|CI MCRAE|1606
ATL|CITY OF GRAND JUNCTION|2
ATL|CLARENDON COUNTY DEPT. OF JUVENILE JUSTICE|1
ATL|CLARENDON COUNTY DETENTION CENTER|36
ATL|CLARENDON COUNTY PROBATION & PAROLE OFFICE|1
ATL|CLARENDON COUNTY, SC|1
ATL|CLARKESVILLE, GA|5
ATL|CLARKSTON, GA|5
ATL|CLAY COUNTY, GA|3
ATL|CLAYTON COUNTY, GA|263
ATL|CLAYTON PROBATION OFFICE|2
ATL|CLAYTON, GA|13
ATL|CLEVELAND COUNTY JAIL|13
ATL|CLEVELAND COUNTY, NC|3
ATL|CLEVELAND, GA|2
ATL|CLM GENERAL AREA, NON-SPECIFIC|1
ATL|COA GENERAL AREA, NON-SPECIFIC|1
ATL|COBB COUNTY JAIL - 287(G)|1763
ATL|COBB COUNTY STATE COURT PROBATION|4
ATL|COBB COUNTY, GA|132
ATL|COFFEE COUNTY GA|53
ATL|COFFEE COUNTY, GA|2
ATL|COHUTTA, GA|1
ATL|COLLEGE PARK, GA (FULTON COUNTY)|10
ATL|COLLETON COUNTY JAIL|56
ATL|COLLETON COUNTY, SC|2
ATL|COLQUITT COUNTY JAIL, GA|23
ATL|COLQUITT COUNTY, GA|1
ATL|COLQUITT, GA|4
ATL|COLUMBIA COUNTY, GA|28
ATL|COLUMBUS COUNTY JAIL|14
ATL|COLUMBUS COUNTY PROBATION 110 W. SMITH ST. WHITEVILLE, NC|2
ATL|COLUMBUS COUNTY, NC|5
ATL|COLUMBUS DOC|16
ATL|COLUMBUS, GA|11
ATL|COMMERCE, GA|4
ATL|CONYERS PAROLE|3
ATL|CONYERS PROBATION OFFICE|6
ATL|CONYERS, GA|66
ATL|COOK COUNTY JAIL, GA|4
ATL|COOLIDGE, GA|2
ATL|CORDELE, GA|1
ATL|CORNELIA, GA|3
ATL|COVINGTON PROBATION OFFICE|5
ATL|COVINGTON, GA|24
ATL|COWETA COUNTY PROBATION|1
ATL|COWETA COUNTY, GA|153
ATL|CRAVEN COUNTY FUGITIVE OPERATIONS|1
ATL|CRAVEN COUNTY JAIL|11
ATL|CRAWFORD COUNTY, GA|1
ATL|CRAWFORDVILLE, GA|1
ATL|CRISP COUNTY JAIL, GA|43
ATL|CSP SOLANO|1
ATL|CUMBERLAND COUNTY FUGITIVE OPERATIONS|13
ATL|CUMBERLAND COUNTY JAIL|59
ATL|CUMMING PROBATION OFFICE|27
ATL|CUMMING, GA|101
ATL|CURRITUCK COUNTY JAIL|3
ATL|D. RAY JAMES|2438
ATL|DACULA, GA|5
ATL|DADE COUNTY, GA|12
ATL|DAHLONEGA, GA|2
ATL|DAL COUNTY JAIL|1
ATL|DALLAS COUNTY GENERAL AREA|2
ATL|DALLAS, GA|3
ATL|DALTON PROBATION OFFICE|4
ATL|DALTON, GA (WHITFIELD COUNTY)|41
ATL|DAMASCUS, GA (GORDON COUNTY)|1
ATL|DANIELSVILLE, GA|3
ATL|DARE COUNTY JAIL|33
ATL|DARLINGTON COUNTY DETENTION CENTER|1
ATL|DARLINGTON COUNTY, SC|47
ATL|DAVIDSON COUNTY JAIL|48
ATL|DAVIDSON COUNTY, NC|4
ATL|DAVIE COUNTY JAIL|12
ATL|DAVIE COUNTY, NC|3
ATL|DAWSON COUNTY, GA|16
ATL|DAWSON, GA|1
ATL|DAWSONVILLE, GA|11
ATL|DC JAIL - CENTRAL DETENTION - CENTRAL TREATMENT - DISTRICT OF COLUMBIA - DC|1
ATL|DECATUR COUNTY JAIL, GA|5
ATL|DECATUR COUNTY, GA|3
ATL|DECATUR, GA|43
ATL|DEKALB CENTRAL PROBATION OFFICE|4
ATL|DEKALB COUNTY STATE COURT PROBATION|1
ATL|DEKALB COUNTY, GA|125
ATL|DEKALB PROBATION OFFICE|4
ATL|DEPT OF CORRETIONS, TORRINGTON, WYOMING|1
ATL|DETENTION AND REMOVAL OPERATIONS, HARLINGEN FIELD OFFICE|1
ATL|DILLON COUNTY JAIL|36
ATL|DILLON COUNTY, SC|4
ATL|DOBSON, NC|3
ATL|DODGE COUNTY, GA|12
ATL|DOOLY COUNTY JAIL, GA|36
ATL|DORAVILLE, GA|85
ATL|DORCHESTER COUNTY DETENTION CENTER|66
ATL|DORCHESTER COUNTY, SC|25
ATL|DOUGHERTY COUNTY JAIL, GA|35
ATL|DOUGLAS COUNTY, GA|44
ATL|DOUGLAS, GA|14
ATL|DOUGLASVILLE PROBATION OFFICE|4
ATL|DOUGLASVILLE, GA (DOUGLAS COUNTY)|68
ATL|DSM GENERAL AREA, NON-SPECIFIC IOWA|1
ATL|DTN GENERAL AREA, NON-SPECIFIC|408
ATL|DULUTH, GA|42
ATL|DUNWOODY, GA|10
ATL|DUPLIN COUNTY FUGITIVE OPERATIONS|64
ATL|DUPLIN COUNTY JAIL|56
ATL|DUPLIN COUNTY PROBATION KENANSVILLE NC|1
ATL|DURHAM CO PROBATION 119 ORANGE ST DURHAM|4
ATL|DURHAM CO PROBATION DURHAM CHAPEL HILL BLVD DURHAM|1
ATL|DURHAM COUNTY FUGITIVE OPERATIONS|163
ATL|DURHAM COUNTY JAIL|221
ATL|EARLY COUNTY, GA|3
ATL|EAST POINT, GA|19
ATL|EASTERN REGIONAL RECEPTION AND DIAGNOSTIC CENTER, MISSOURI|1
ATL|EATONTON, GA|1
ATL|ECHOLS COUNTY SHERIFFS, GA|1
ATL|EDGECOMB COUNTY FUGITIVE OPERATIONS|10
ATL|EDGECOMB COUNTY JAIL|9
ATL|EDGEFIELD, SC|38
ATL|EFFINGHAM COUNTY, GA|25
ATL|ELBERT COUNTY, GA|3
ATL|ELBERTON, GA|3
ATL|ELKIN, NC|2
ATL|ELLIJAY, GA|19
ATL|ESTILL FEDERAL CORRECTIONAL INSTITUTION|189
ATL|EVANS COUNTY, GA|6
ATL|FAIRBURN, GA|1
ATL|FAIRFEILD COUNTY, SC|6
ATL|FANNIN COUNTY, GA|3
ATL|FAYETTE COUNTY, GA|66
ATL|FAYETTEVILLE PROBATION OFFICE|1
ATL|FAYETTEVILLE, GA|38
ATL|FCI BEAUMONT, JEFFERSON COUNTY, TX|1
ATL|FCI BENNETTSVILLE|395
ATL|FCI EDGEFIELD|301
ATL|FCI JESUP, GA|65
ATL|FCI LA TUNA|1
ATL|FCS GENERAL AREA, NON-SPECIFIC|6
ATL|FEDERAL PROBATION & PAROLE - CHARLESTON DIVISION|1
ATL|FIELD ARREST|22
ATL|FL DEPARTMENT OF CORRECTIONS|1
ATL|FLORENCE COUNTY DEPT. OF JUVENILE JUSTICE|1
ATL|FLORENCE COUNTY DETENTION CENTER|80
ATL|FLORENCE COUNTY, SC|2
ATL|FLOWERY BRANCH, GA|2
ATL|FLOYD COUNTY, GA|113
ATL|FOLKSTON, GA|9
ATL|FOREST PARK, GA|99
ATL|FORSYTH COUNTY JAIL|273
ATL|FORSYTH COUNTY JAIL, NC|9
ATL|FORSYTH COUNTY, GA|103
ATL|FORSYTH COUNTY, NC|25
ATL|FORSYTH PROBATION OFFICE|3
ATL|FORSYTH, GA|13
ATL|FORT OGLETHORPE, GA|1
ATL|FORT VALLEY, GA|3
ATL|FRANKLIN CO PROBATION LOUISBURG|2
ATL|FRANKLIN COUNTY FUGITIVE OPERATIONS|21
ATL|FRANKLIN COUNTY JAIL|32
ATL|FRANKLIN, NC|1
ATL|FRANLKIN COUNTY, GA|15
ATL|FT. BENNING, GA|2
ATL|FTM-VCAS|1
ATL|FUGITIVE OPERATIONS|1
ATL|FUGOP - NON FUGITIVE|2
ATL|FULTON COUNTY, GA|282
ATL|GAINESVILLE PROBATION OFFICE|9
ATL|GAINESVILLE, GA|33
ATL|GAINSVILLE OFFICE (FEDERAL PROBATION & PAROLE)|1
ATL|GARDEN CITY, GA|2
ATL|GASTON COUNTY JAIL|15
ATL|GASTON COUNTY JAIL 287G|260
ATL|GASTON COUNTY, NC|33
ATL|GCJ GENERAL AREA, NON-SPECIFIC|51
ATL|GCN GENERAL AREA, GASTON 287G|6
ATL|GEORGETOWN COUNTY DETENTION CENTER|66
ATL|GEORGETOWN COUNTY, SC|1
ATL|GEORGIA CORRECTIONS CORPORATION, INC|2
ATL|GILMER COUNTY, GA|21
ATL|GLYNN COUNTY GA|94
ATL|GLYNN COUNTY, GA|6
ATL|GNS GENERAL AREA, NON-SPECIFIC|40
ATL|GORDON COUNTY PROBATION|1
ATL|GORDON COUNTY, GA|48
ATL|GRADY COUNTY JAIL, GA|11
ATL|GRADY COUNTY, GA|2
ATL|GRAHAM, NC|60
ATL|GRANVILLE CO PROBATION OXFORD|3
ATL|GRANVILLE COUNTY JAIL|29
ATL|GRANVILLE FUGITIVE OPERATIONS|16
ATL|GREENE COUNTY FUGITIVE OPERATIONS|11
ATL|GREENE COUNTY JAIL|11
ATL|GREENE COUNTY, GA|5
ATL|GREENSBORO GENERAL AREA|1
ATL|GREENSBORO, GA|7
ATL|GREENSBORO, NC|119
ATL|GREENVILLE COUNTY|532
ATL|GREENVILLE COUNTY PROBATION & PAROLE OFFICE|7
ATL|GREENVILLE COUNTY, SC|1
ATL|GREENVILLE, GA (CAMDEN COUNTY)|1
ATL|GREENVILLE, GA (MERIWETHER COUNTY)|1
ATL|GREENVILLE, SC|131
ATL|GREENWOOD COUNTY, SC|94
ATL|GRIFFIN, GA|14
ATL|GRN GENERAL AREA, NON-SPECIFIC|109
ATL|GROVETOWN MUNICIPAL PROBATION|1
ATL|GROVETOWN, GA|52
ATL|GRR GENERAL AREA, NON-SPECIFIC|52
ATL|GSS GENERAL AREA, NON-SPECIFIC|1
ATL|GUILFORD CO PROBATION S GREENE ST GREENSBORO|1
ATL|GUILFORD COUNTY JAIL GREENSBORO|50
ATL|GUILFORD COUNTY JAIL HIGH POINT|15
ATL|GUILFORD COUNTY JAIL, NC|3
ATL|GUILFORD COUNTY, NC|10
ATL|GWINNETT COUNTY JAIL|234
ATL|GWINNETT COUNTY JAIL - 287(G)|5734
ATL|HABERSHAM COUNTY, GA|22
ATL|HALIFAX COUNTY JAIL|6
ATL|HALL COUNTY JAIL - 287(G)|1186
ATL|HALL COUNTY, GA|8
ATL|HAMPTON COUNTY DETENTION CENTER|15
ATL|HAMPTON COUNTY, SC|3
ATL|HAMPTON, GA|5
ATL|HAPEVILLE, GA|5
ATL|HARALSON COUNTY PROBATION|1
ATL|HARALSON COUNTY, GA|3
ATL|HARNETT COUNTY FUGITIVE OPERATIONS|29
ATL|HARNETT COUNTY JAIL|64
ATL|HARRIS COUNTY, GA|20
ATL|HART COUNTY, GA|4
ATL|HARTWELL, GA|2
ATL|HAWKINSVILLE, GA|1
ATL|HAYWOOD COUNTY JAIL|6
ATL|HAYWOOD COUNTY, NC|2
ATL|HAZELHURST PROBATION OFFICE|1
ATL|HAZELHURST, GA (JEFF DAVIS COUNTY)|1
ATL|HBG GENERAL AREA, NON-SPECIFIC|1
ATL|HEARD COUNTY, GA|1
ATL|HELENA, GA|1
ATL|HEN GENERAL AREA, HENDERSON 287G|1
ATL|HEN GENERAL AREA, NON-SPECIFIC|56
ATL|HENDERSON COUNTY JAIL|96
ATL|HENDERSON COUNTY JAIL 287G|10
ATL|HENDERSON COUNTY, NC|31
ATL|HENDERSONVILLE, NC|3
ATL|HENRY COUNTY, GA|48
ATL|HEPHZIBAH, GA|5
ATL|HERTFORD COUNTY JAIL|4
ATL|HIAWASSEE, GA|1
ATL|HIGH POINT, NC|44
ATL|HIRAM, GA|2
ATL|HOKE COUNTY FUGITIVE OPERATIONS|8
ATL|HOKE COUNTY JAIL|27
ATL|HOLLY SPRINGS, GA (CHEROKEE COUNTY)|18
ATL|HOMER, GA|4
ATL|HORRY COUNTY - J. RUEBEN LONG DETENTION CENTER|324
ATL|HORRY COUNTY DEPT. OF JUVENILE JUSTICE|1
ATL|HORRY COUNTY, SC|32
ATL|HOUSTON COUNTY JAIL, GA|67
ATL|HOUSTON COUNTY, GA|2
ATL|INP GENERAL AREA, NON-SPECIFIC|1
ATL|IREDELL CO PROBATION COOPER ST STATESVILLE|1
ATL|IREDELL CO PROBATION N TRADD ST STATESVILLE|1
ATL|IREDELL COUNTY JAIL|113
ATL|IREDELL COUNTY, NC|5
ATL|IRON CITY, GA|1
ATL|IRWIN COUNTY JAIL, GA|3
ATL|IRWING COUNTY, GA|17
ATL|IRWINTON, GA|1
ATL|JAC - FLORIDA DEPARTMENT OF CORRECTIONS|1
ATL|JACKSON COUNTY JAIL|5
ATL|JACKSON COUNTY, GA|33
ATL|JACKSON COUNTY, NC|5
ATL|JACKSON, GA|138
ATL|JASPER COUNTY DEPT. OF JUVENILE JUSTICE|2
ATL|JASPER COUNTY DETENTION CENTER|197
ATL|JASPER COUNTY, GA|4
ATL|JASPER COUNTY, SC|14
ATL|JASPER PROBATION OFFICE|1
ATL|JASPER, GA|7
ATL|JEFF DAVIS COUNTY GA|4
ATL|JEFFERSON COUNTY, GA|7
ATL|JEFFERSON, GA (CAMDEN COUNTY)|5
ATL|JEFFERSON, GA (JACKSON COUNTY)|18
ATL|JEFFERSON, NC|4
ATL|JENKINS COUNTY, GA|1
ATL|JNA GENERAL AREA, NON-SPECIFIC|1
ATL|JOHNSON COUNTY, GA|4
ATL|JOHNSTON COUNTY FUGITIVE OPERATIONS|80
ATL|JOHNSTON COUNTY JAIL|84
ATL|JOHNSTON COUNTY SHERIFF|13
ATL|JONES COUNTY FUGITIVE OPERATIONS|1
ATL|JONES COUNTY JAIL TRENTON, NC|2
ATL|JONES COUNTY, GA|1
ATL|JONESBORO MUNICIPAL PROBATION|1
ATL|JONESBORO, GA|146
ATL|JRL GENERAL AREA, NON-SPECIFIC|384
ATL|KENNER, LA|1
ATL|KENNESAW, GA|2
ATL|KERSHAW COUNTY, SC|50
ATL|KIRKLAND RECEPTION AND EVALUATION CENTER|1
ATL|KIRKLAND STATE PRISON, SC|123
ATL|LA FAYETTE, GA|4
ATL|LAF GENERAL AREA, NON-SPECIFIC|2
ATL|LAFAYETTE PROBATION OFFICE|3
ATL|LAGRANGE PROBATION OFFICE|1
ATL|LAKE CITY, GA|3
ATL|LAKE PARK, GA|3
ATL|LAMAR COUNTY, GA|4
ATL|LANCASTER COUNTY, SC|89
ATL|LANIER COUNTY SHERIFFS, GA|2
ATL|LAR GENERAL AREA, NON-SPECIFIC|4
ATL|LAURENS COUNTY|23
ATL|LAURENS COUNTY PROBATION & PAROLE OFFICE|1
ATL|LAURENS COUNTY, GA|3
ATL|LAWRENCEVILLE PROBATION OFFICE|32
ATL|LAWRENCEVILLE, GA|96
ATL|LEE COUNTY FUGITIVE OPERATIONS|16
ATL|LEE COUNTY JAIL|36
ATL|LEE COUNTY JAIL, GA|13
ATL|LENOIR CO PROBATION 301 E KING ST KINSTON|4
ATL|LENOIR COUNTY FUGITIVE OPERATIONS|21
ATL|LENOIR COUNTY JAIL|20
ATL|LENOIR, NC|3
ATL|LEX GENERAL AREA, NON-SPECIFIC|124
