aor|code|office|state|type|count
ATL|ATL|Atlanta|GA|Field Office|1
ATL|   |Charleston|SC|Sub Field Office|1
ATL|   |Charlotte|NC|Sub Field Office|2
ATL|   |Columbia|SC|Sub Field Office|1
ATL|DTN|Dalton|GA|Sub Field Office|1
ATL|   |Folkston|GA|Sub Field Office|1
ATL|   |Greensboro|NC|Sub Field Office|1
ATL|   |Greer|SC|Sub Field Office|1
ATL|   |Hendersonville|NC|Sub Field Office|1
ATL|   |Lumpkin|GA|Sub Field Office|1
ATL|   |Ocilla|GA|Sub Field Office|1
ATL|RDU|Raleigh|NC|Sub Field Office|1
ATL|SAV|Savannah|GA|Sub Field Office|1
ATL|WIL|Wilmington|NC|Sub Field Office|1
BAL|   |Baltimore|MD|Field Office|1
BAL|   |Salisbury|MD|Sub Field Office|1
BOS|   |Boston (Burlington)|MA|Field Office|1
BOS|HAR|Hartford|CT|Sub Field Office|1
BOS|   |Manchester|NH|Sub Field Office|1
BOS|POM|S. Portland|ME|Sub Field Office|1
BOS|STA|St. Albans|VT|Sub Field Office|1
BOS|   |Warwick|RI|Sub Field Office|1
BUF|   |Albany|NY|Sub Field Office|1
BUF|   |Batavia|NY|Sub Field Office|2
BUF|   |Buffalo|NY|Field Office|1
BUF|   |Champlain|NY|Sub Field Office|1
BUF|   |Syracuse|NY|Sub Field Office|1
CHI|   |Bowling Green KY|Sub Field Office|1
CHI|   |Broadview|IL|Sub Field Office|1
CHI|   |Chicago|IL|Field Office|1
CHI|   |Fort Wayne|IN|Sub Field Office|1
CHI|   |Garden City|KS|Sub Field Office|1
CHI|   |Indianapolis|IN|Sub Field Office|1
CHI|   |Kansas City|MO|Sub Field Office|1
CHI|   |Lexington|KY|Sub Field Office|1
CHI|   |Louisville|KY|Sub Field Office|1
CHI|   |Madison|WI|Sub Field Office|1
CHI|   |Milwaukee|WI|Sub Field Office|1
CHI|   |Rock Island|IL|Sub Field Office|1
CHI|   |St. Louis|MO|Sub Field Office|1
CHI|   |Stratford|MO|Sub Field Office|1
CHI|   |Wichita|KS|Sub Field Office|1
DAL|   |Alvarado|TX|Sub Field Office|1
DAL|   |Amarillo|TX|Sub Field Office|1
DAL|   |Athens|TX|Sub Field Office|1
DAL|   |Big Spring|TX|Sub Field Office|1
DAL|   |Dallas|TX|Field Office|1
DAL|   |Lubbock|TX|Sub Field Office|1
DAL|   |Oklahoma City|OK|Sub Field Office|1
DAL|   |San Angelo|TX|Sub Field Office|1
DAL|   |Tulsa|OK|Sub Field Office|1
DEN|   |Alamosa|CO|Sub Field Office|1
DEN|   |Aurora|CO|Sub Field Office|1
DEN|   |Casper|WY|Sub Field Office|1
DEN|   |Cheyenne|WY|Sub Field Office|1
DEN|   |Craig|CO|Sub Field Office|1
DEN|   |Denver|CO|Field Office|1
DEN|   |Durango|CO|Sub Field Office|1
DEN|   |Florence|CO|Sub Field Office|1
DEN|   |Frederick|CO|Sub Field Office|1
DEN|   |Glenwood Springs|CO|Sub Field Office|1
DEN|   |Grand Junction|CO|Sub Field Office|1
DET|   |Cincinatti|OH|Sub Field Office|1
