Area of Responsibility|FY 2013|FY 2014|FY 2015|FY 2016
FY 2017|Change in Arrests from 2016 to 2017 (%)|Change in Arrests from 2013 to 2017 (%)
Dallas|16021|13231|8229|9635|16520|71|3
Houston|13984|16362|13991|12948|13565|5|-3
Atlanta|17709|14559|10094|8870|13551|53|-23
Chicago|12045|10152|6972|7056|8604|22|-29
San|Antonio|25773|18793|11369|8436|8510|1|-67
Los|Angeles|25198|18983|8739|7717|8419|9|-67
New|Orleans|9196|7434|5247|5182|7968|54|-13
San|Francisco|20803|10822|6146|6652|7231|9|-65
Phoenix|11118|8540|7225|5389|6457|20|-42
Miami|11441|8538|4855|3532|6192|75|-46
Salt|Lake|City|6235|5141|4420|4641|5177|12|-17
Philadelphia|4983|4948|4061|3674|4938|34|-1
San|Diego|7228|6801|3964|3704|4551|23|-37
St.|Paul|5567|3704|2378|2502|4175|67|-25
Washington|5708|4788|3155|2887|4163|44|-27
Detroit|5446|4609|2590|2248|3409|52|-37
Seattle|7192|4722|2980|2700|3376|25|-53
Newark|4464|3953|2545|2249|3189|42|-29
Boston|3960|2858|1803|1861|2834|52|-28
Denver|4910|3317|2351|2284|2746|20|-44
New|York|City|5646|4942|2369|1849|2576|39|-54
El|Paso|3329|2791|1929|1637|1892|16|-43
Baltimore|2579|2125|1117|1240|1666|34|-35
Buffalo|1717|1527|1202|1174|1494|27|-13
Total|232287|183703|119772|110104|143470|30|-38
