"","apprehension_landmark","total"
"1","",14034
"2","		COOK INLET PRETRIAL FACILITY",5
"3"," ADELANTO DETENTION CENTER (SBSD) ADELANTO, CA",60
"4"," LICENSING UNIT/ STATE POLICE",27
"5"," MULTNOMAH COUNTY JAILS (INVERNESS & MCDC)",32
"6"," WASHINGTON COUNTY 287G JAIL ENFORCEMENT OFFICER",13
"7","10TH DISTRICT COURT, BATTLE CREEK, MICHIGAN",2
"8","12TH DISTRICT COURT PROBATION, JACKSON",4
"9","14A-2 DISTRICT COURT PROBATION, YPSILANTI",3
"10","14B DISTRICT COURT PROBATION, YPSILANTI",1
"11","16TH CIRCUIT COURT PROBATION OFFICE, MT. CLEMENS",3
"12","16TH DISTRICT COURT PROBATION, LIVONIA",1
"13","17TH CIRCUIT COURT PROBATION, KENT COUNTY",6
"14","17TH DISTRICT COURT PROBATION, REDFORD",2
"15","18TH DISTRICT COURT PROBATION, WESTLAND",4
"16","1ST DISTRICT COURT PROBATION, MONROE",1
"17","22ND CIRCUIT COURT PROBATION OFFICE, ANN ARBOR",2
"18","22ND DISTRICT COURT PROBATION, INKSTER",1
"19","23RD DISTRICT COURT PROBATION, TAYLOR",2
"20","24TH DISTRICT COURT PROBATION, ALLEN PARK",1
"21","25TH DISTRICT COURT PROBATION, LINCOLN PARK",1
"22","27TH DISTRICT COURT PROBATION, WYANDOTTE",1
"23","287(G) - ADC JEO",21
"24","287(G) - AZ DOC (JEO)",3
"25","287(G) - MESA CITY JAIL JEO",29
"26","287(G) - YCSO CAMP VERDE JAIL JEO",22
"27","287(G) MASSACHUSETTS DOC JAIL ENFORCMENT",1
"28","287(G) PINAL COUNTY JAIL FLORENCE JEO",37
"29","287(G) PINAL COUNTY SHERIFF PATROL (TFO)",1
"30","287(G)- LOS ANGELES COUNTY JAIL ENFORCEMENT OFFICER",2
"31","287(G)- RIVERSIDE COUNTY JAIL ENFORCEMENT OFFICER",1
"32","287(G)- SAN BERNARDINO COUNTY JAIL ENFORCEMENT OFFICER",2
"33","287(G)-ANNE ARUNDEL COUNTY DETENTION FACILITIES",1
"34","287(G)-CLAY COUNTY SHERIFF'S OFFICE",49
"35","287(G)-KNOX COUNTY SHERIFF'S OFFICE",67
"36","287(G)-PASCO COUNTY SHERIFF'S OFFICE",114
"37","287g",27
"38","287G COLLIER FMY ERO PROGRAM",1928
"39","2A DISTRICT COURT PROBATION, ADRIAN",1
"40","30TH CIRCUIT COURT FAMILY DIVISION, LANSING",1
"41","30TH CIRCUIT COURT, LANSING, MICHIGAN",2
"42","30TH DISTRICT COURT PROBATION, HIGHLAND PARK",1
"43","33RD DISTRICT COURT PROBATION, WOODHAVEN",3
