"","aor","apprehension_landmark","total"
"1","ATL","287g",27
"2","ATL","287G COLLIER FMY ERO PROGRAM",1
"3","ATL","A - WI DOC - RACINE CORRECTIONAL INSTITUTION",1
"4","ATL","ABBEVILLE COUNTY",1
"5","ATL","ABBEVILLE COUNTY DETENTION CENTER",1
"6","ATL","ABBEVILLE, GA",2
"7","ATL","ABQ GENERAL AREA, NON-SPECIFIC",1
"8","ATL","ACWORTH POLICE DEPARTMENT",5
"9","ATL","ACWORTH, GA",16
"10","ATL","ADAIRSVILLE, GA",1
"11","ATL","ADRIAN, GA",1
"12","ATL","AIKEN COUNTY, SC",151
"13","ATL","ALAMANCE COUNTY JAIL",73
"14","ATL","ALAMANCE COUNTY JAIL, NC",6
"15","ATL","ALAMANCE COUNTY, NC",6
"16","ATL","ALAMO, GA",1
"17","ATL","ALBANY, GA",3
"18","ATL","ALEXANDER CO PROBATION TAYLORSVILLE",1
"19","ATL","ALEXANDER COUNTY JAIL",9
"20","ATL","ALEXANDER COUNTY, NC",1
"21","ATL","ALLEGHANY COUNTY JAIL",25
"22","ATL","ALLEGHANY COUNTY JAIL, NC",1
"23","ATL","ALLEGHANY COUNTY, NC",1
"24","ATL","ALLENDALE CORRECTIONAL INSTITUTION",30
"25","ATL","ALLENDALE COUNTY DETENTION CENTER",2
"26","ATL","ALPHARETTA, GA",45
"27","ATL","ALTERNATIVE PROBATION SERVICES, INC",1
"28","ATL","AMERICUS, GA",1
"29","ATL","ANDERSON COUNTY",101
"30","ATL","ANDERSON COUNTY DEPT. OF JUVENILE JUSTICE",1
"31","ATL","ANDERSON COUNTY PROBATION & PAROLE OFFICE",1
"32","ATL","ANSON COUNTY JAIL",1
"33","ATL","APPLING COUNTY GA",28
"34","ATL","APPLING, GA",6
"35","ATL","ASHE COUNTY JAIL",10
"36","ATL","ASHE COUNTY JAIL, NC",1
"37","ATL","ASHE COUNTY, NC",3
"38","ATL","ASHEBORO, NC",29
"39","ATL","ASHEVILLE, NC",40
"40","ATL","ATHENS DIVISION (FEDERAL PROBATION & PAROLE)",4
"41","ATL","ATHENS DRC PROBATION",1
"42","ATL","ATHENS PROBATION OFFICE",17
"43","ATL","ATHENS-CLARK COUNTY",11
"44","ATL","ATHENS-CLARKE COUNTY PROBATION",16
"45","ATL","ATHENS, GA",65
"46","ATL","ATKINSON COUNTY GA",47
"47","ATL","ATL GENERAL AREA, NON-SPECIFIC",31
"48","ATL","ATLANTA CENTRAL PROBATION",39
"49","ATL","ATLANTA COURT SERVICES",3
"50","ATL","ATLANTA METRO DRC PROBATION",2
"51","ATL","ATLANTA PROBATION",4
"52","ATL","ATLANTA, GA",5303
"53","ATL","AUGUSTA PROBATION OFFICE",3
"54","ATL","AUGUSTA-RICHMOND COUNTY GA",47
"55","ATL","AUGUSTA, GA",58
